Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
시작,Noun,그렇게 환웅은 인간 세상을 다스리기 시작했어요.,"beginning, start",That's how Hwanung began to govern the human world.,"始 (시: begin, start) + 作 (작: make, do)"
곰,Noun,환웅에게 곰 한 마리와 호랑이 한 마리가 찾아왔어요.,bear,A bear and a tiger came to Hwanung.,Pure Korean
호랑이,Noun,환웅에게 곰 한 마리와 호랑이 한 마리가 찾아왔어요.,tiger,A bear and a tiger came to Hwanung.,Pure Korean
찾아오다,Verb,환웅에게 곰 한 마리와 호랑이 한 마리가 찾아왔어요.,"to come to visit, to come (here)",A bear and a tiger came to Hwanung.,Pure Korean
소원,Noun,"저희의 소원을 들어주세요.""","wish, desire","""Please grant our wish.""","所 (소: place, what is desired) + 願 (원: wish, desire)"
들어주다,Verb,"저희의 소원을 들어주세요.""","to grant (a wish), to listen to (a request)","""Please grant our wish.""",Pure Korean
부탁,Noun,호랑이와 곰의 간절한 부탁에 환웅은 쑥과 마늘을 주면서 말했어요.,"request, favor","At the earnest request of the tiger and the bear, Hwanung gave them mugwort and garlic and spoke.","付 (부: give, attach) + 託 (탁: entrust, commit)"
쑥,Noun,호랑이와 곰의 간절한 부탁에 환웅은 쑥과 마늘을 주면서 말했어요.,mugwort,"At the earnest request of the tiger and the bear, Hwanung gave them mugwort and garlic and spoke.",Pure Korean
마늘,Noun,호랑이와 곰의 간절한 부탁에 환웅은 쑥과 마늘을 주면서 말했어요.,garlic,"At the earnest request of the tiger and the bear, Hwanung gave them mugwort and garlic and spoke.",Pure Korean
햇빛,Noun,"""사람이 되려면 100일 동안 햇빛을 보지 않고 이 쑥과 마늘만 먹으면서 지내야 한다.","sunlight, sunbeam","""To become human, you must live for 100 days without seeing sunlight, eating only this mugwort and garlic.""",Pure Korean
지내다,Verb,"""사람이 되려면 100일 동안 햇빛을 보지 않고 이 쑥과 마늘만 먹으면서 지내야 한다.","to spend time, to live (a period of time)","""To become human, you must live for 100 days without seeing sunlight, eating only this mugwort and garlic.""",Pure Korean
그날,Noun,그날부터 곰과 호랑이는 깜깜한 동굴에 들어가 쑥과 마늘만 먹기 시작했어요.,that day,"From that day on, the bear and the tiger went into a dark cave and began eating only mugwort and garlic.",Pure Korean
깜깜,Adverb,그날부터 곰과 호랑이는 깜깜한 동굴에 들어가 쑥과 마늘만 먹기 시작했어요.,"dark, pitch-black","From that day on, the bear and the tiger went into a dark cave and began eating only mugwort and garlic.",Pure Korean
동굴,Noun,그날부터 곰과 호랑이는 깜깜한 동굴에 들어가 쑥과 마늘만 먹기 시작했어요.,cave,"From that day on, the bear and the tiger went into a dark cave and began eating only mugwort and garlic.","洞 (동: cave, hollow) + 窟 (굴: cave, grotto)"
고통,Noun,쓴 쑥과 매운 마늘만 먹는 것도 너무 고통스러웠어요.,"pain, suffering",Eating only bitter mugwort and spicy garlic was also too painful.,"苦 (고: bitter, suffering) + 痛 (통: pain, ache)"
며칠,Noun,며칠이 지났을 때 호랑이가 화를 내면서 곰에게 말했어요.,a few days,"When a few days passed, the tiger got angry and spoke to the bear.",Pure Korean
때,Noun,며칠이 지났을 때 호랑이가 화를 내면서 곰에게 말했어요.,time,"When a few days passed, the tiger got angry and spoke to the bear.",Pure Korean
당장,Noun,"나는 당장 나갈래.""","right now, immediately","""I'm going to leave right now.""","當 (당: to face, to be appropriate) + 場 (장: place, scene)"
달래다,Verb,곰은 호랑이를 달래며 말했어요.,"to comfort, to appease",The bear comforted the tiger and spoke.,Pure Korean
견디다,Verb,"나랑 같이 조금만 더 견디자.""","to endure, to bear","""Let's endure a little longer together.""",Pure Korean
그냥,Adverb,"난 그냥 나가서 맛있는 고기 먹을래.""","just, simply","""I'll just go out and eat some delicious meat.""",Pure Korean
뛰쳐나가다,Verb,호랑이는 그렇게 말하고는 동굴 밖으로 뛰쳐나가 버렸어요.,"to rush out, to bolt out","Saying so, the tiger rushed out of the cave.",Pure Korean
참다,Verb,혼자 남은 곰은 더 외롭고 힘들었지만 사람이 될 날을 기다리면서 참고 견디었어요.,"to bear, to put up with","The bear, left alone, was lonelier and had a harder time, but endured and persevered while waiting for the day to become human.",Pure Korean
지,Noun,곰이 동굴에서 혼자 쑥과 마늘만 먹은 지 21일째가 되던 날이었어요.,time (since),It was the 21st day since the bear had been eating only mugwort and garlic alone in the cave.,Pure Korean
갑자기,Adverb,갑자기 동굴 안에서 환한 빛이 나더니 곰이 아름다운 여자로 변했어요.,suddenly,"Suddenly, a bright light shone inside the cave, and the bear transformed into a beautiful woman.",Pure Korean
환하다,Adjective,갑자기 동굴 안에서 환한 빛이 나더니 곰이 아름다운 여자로 변했어요.,"to be bright, to be brilliant","Suddenly, a bright light shone inside the cave, and the bear transformed into a beautiful woman.",Pure Korean
빛,Noun,갑자기 동굴 안에서 환한 빛이 나더니 곰이 아름다운 여자로 변했어요.,light,"Suddenly, a bright light shone inside the cave, and the bear transformed into a beautiful woman.",Pure Korean
변하다,Verb,갑자기 동굴 안에서 환한 빛이 나더니 곰이 아름다운 여자로 변했어요.,"to change, to transform","Suddenly, a bright light shone inside the cave, and the bear transformed into a beautiful woman.","變 (변: change, transform)"
믿기다,Verb,곰은 아직 100일이 되지 않았는데 사람이 된 것이 믿기지 않았어요.,"to be believed, to be believable",The bear couldn't believe that she had become human even though 100 days hadn't passed yet.,Pure Korean
정말로,Adverb,"""세상에 내가 정말로 사람이 됐구나.","really, truly","""Oh my, I've truly become human!""","正 (정: correct, right) + 實 (실: truth, reality)"
감격,Noun,곰은 감격해서 말했어요.,"deep emotion, being moved","The bear spoke, deeply moved.","感 (감: feel, sense) + 激 (격: excite, stir)"
웅녀,Noun,사람들은 여자가 된 곰을 웅녀라고 불렀어요.,Ungnyeo (Bear Woman),People called the bear who became a woman 'Ungnyeo'.,熊 (웅: bear) + 女 (녀: woman)
흑흑,Adverb,"""흑흑흑 저도 결혼을 하고 아이를 갖고 싶습니다.",sob sob (sound of crying),"""Sob sob sob, I also want to get married and have a child.",Pure Korean
흑,Noun,"""흑흑흑 저도 결혼을 하고 아이를 갖고 싶습니다.",sob (sound of crying),"""Sob sob sob, I also want to get married and have a child.",Pure Korean
제발,Adverb,"제발 저의 소원을 들어주세요.""",please,"""Please grant my wish.""",Pure Korean
간절히,Adverb,비가 오는 날에도 눈이 오는 날에도 웅녀는 간절히 기도했어요.,"earnestly, fervently","Even on rainy days and snowy days, Ungnyeo prayed earnestly.","懇 (간: sincere, earnest) + 切 (절: urgent, eager)"
정성,Noun,그 모습을 본 환웅은 정성을 다하는 웅녀의 모습에 감동했어요.,"sincerity, devotion","Hwanung, who saw that sight, was moved by Ungnyeo's devoted efforts.","精 (정: refined, essence) + 誠 (성: sincerity, truth)"
다하다,Verb,그 모습을 본 환웅은 정성을 다하는 웅녀의 모습에 감동했어요.,"to exhaust, to give one's all","Hwanung, who saw that sight, was moved by Ungnyeo's devoted efforts.",Pure Korean
감동,Noun,그 모습을 본 환웅은 정성을 다하는 웅녀의 모습에 감동했어요.,"impression, being moved","Hwanung, who saw that sight, was moved by Ungnyeo's devoted efforts.","感 (감: feel, sense) + 動 (동: move)"
원하다,Verb,그리고 웅녀는 원하던 대로 아이를 가졌어요.,"to want, to wish",And Ungnyeo had a child just as she wished.,"願 (원: wish, desire)"
대로,Noun,그리고 웅녀는 원하던 대로 아이를 가졌어요.,"as, according to",And Ungnyeo had a child just as she wished.,Pure Korean
우렁차다,Adjective,시간이 흘러 아이는 아주 우렁찬 소리를 내면서 태어났어요.,"to be booming, to be powerful (of a sound)","As time passed, the child was born with a very booming sound.",Pure Korean
아가,Noun,"""아가야 훌륭하게 자라렴.""","baby, child","""My child, grow up to be great.""",Pure Korean
훗날,Noun,훗날 아이는 웅녀의 바람대로 훌륭하게 자라 나라를 세웠어요.,"in the future, later on","Later on, the child grew up to be great, as Ungnyeo had wished, and founded a nation.",Pure Korean
한국,Noun,그 나라가 한국 최초의 국가 고조선이고 그가 바로 단군왕검이에요.,Korea,"That nation is Gojoseon, the first country of Korea, and he is Dangun Wanggeom.","韓 (한: Han, Korean) + 國 (국: country, nation)"
최초,Noun,그 나라가 한국 최초의 국가 고조선이고 그가 바로 단군왕검이에요.,first,"That nation is Gojoseon, the first country of Korea, and he is Dangun Wanggeom.","最 (최: most, superlative) + 初 (초: first, beginning)"
조선,Noun,그 나라가 한국 최초의 국가 고조선이고 그가 바로 단군왕검이에요.,Joseon,"That nation is Gojoseon, the first country of Korea, and he is Dangun Wanggeom.","朝 (조: morning, dynasty) + 鮮 (선: fresh, clear, beautiful)"
단군왕검,Noun,그 나라가 한국 최초의 국가 고조선이고 그가 바로 단군왕검이에요.,Dangun Wanggeom,"That nation is Gojoseon, the first country of Korea, and he is Dangun Wanggeom.","檀 (단: sandalwood, altar) + 君 (군: lord, ruler) + 王 (왕: king) + 儉 (검: frugal, simple, humble)"
