Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
곧바로,immediately,Pure Korean,Adverb,"곶감이라는 말에 아이가 곧바로 울음을
 그쳤어요.","At the mention of 'dried persimmon,' the child immediately stopped crying."
방문,room door,房 (방: room) + 門 (문: door),Noun,"그런데
 그때 엄마가 방문을 열었어요.","But then, Mom opened the room door."
도망가다,to run away,"逃 (도: escape, flee) + 亡 (망: escape, flee) + 가다 (Pure Korean: to go)",Verb,"호랑이는 깜짝 놀라 왜 안 까나
 안으로 도망갔어요.","The tiger was startled and, [perhaps thinking] 'why isn't it opening?', ran inside."
숨다,to hide,,Verb,"외양간 안에 숨어 있던 호랑이는 누군가
 외양간으로 살금살금 들어오는 것을 봤어요.","The tiger, which had been hiding, saw someone stealthily entering the barn."
소,cow,Pure Korean,Noun,"그런데 사실 외안간 안으로
 들어온 사람은 소를 훔치러 온 소도둑이었어요.","But actually, the person who came into the barn was a cow thief who came to steal a cow."
훔치다,to steal,Pure Korean,Verb,"그런데 사실 외안간 안으로
 들어온 사람은 소를 훔치러 온 소도둑이었어요.","But actually, the person who came into the barn was a cow thief who came to steal a cow."
벌벌,trembling (with fear),Pure Korean,Adverb,"호랑이는 그것도
 모르고 무서워서 벌벌 떨었어요.","The tiger, unaware of that, trembled with fear."
떨다,to tremble,Pure Korean,Verb,"호랑이는 그것도
 모르고 무서워서 벌벌 떨었어요.","The tiger, unaware of that, trembled with fear."
엎드리다,to lie down (face down),Pure Korean,Verb,그리고 소 옆에 몸을 엎드리고 숨었어요.,"Then, it lay down next to the cow and hid."
천천히,slowly,Pure Korean,Adverb,바로 그때 천천히 다가온 소도둑이 호랑이 머리를 벗어났어요.,"Just then, the cow thief who slowly approached got past the tiger's head."
다가오다,to approach,Pure Korean,Verb,바로 그때 천천히 다가온 소도둑이 호랑이 머리를 벗어났어요.,"Just then, the cow thief who slowly approached got past the tiger's head."
벗어나다,to get out of,Pure Korean,Verb,바로 그때 천천히 다가온 소도둑이 호랑이 머리를 벗어났어요.,"Just then, the cow thief who slowly approached got past the tiger's head."
벌떡,suddenly (rising),Pure Korean,Adverb,호랑이는 깜짝 놀라 벌떡 일어났어요.,The tiger was startled and sprang to its feet.
때문,reason,Pure Korean,Noun,"그런데 벌떡 일어난
 호랑이 때문에 소도둑이 깜짝 놀라서 호랑이 등에 올라타 버렸어요.","However, because the tiger suddenly stood up, the cow thief was startled and jumped onto the tiger's back."
등,back (body part),Pure Korean,Noun,"그런데 벌떡 일어난
 호랑이 때문에 소도둑이 깜짝 놀라서 호랑이 등에 올라타 버렸어요.","However, because the tiger suddenly stood up, the cow thief was startled and jumped onto the tiger's back."
힘껏,with all one's might,Pure Korean,Adverb,"호랑이는 등의 곶감이라는 무서운 놈이
 탄 줄 알고 힘껏 뛰기 시작했어요.","The tiger, thinking that a scary creature called 'gotgam' was on its back, began to run with all its might."
뛰다,to run,Pure Korean,Verb,"호랑이는 등의 곶감이라는 무서운 놈이
 탄 줄 알고 힘껏 뛰기 시작했어요.","The tiger, thinking that a scary creature called 'gotgam' was on its back, began to run with all its might."
도둑,thief,Pure Korean,Noun,"소도둑도 호랑이 등에서 떨어지지
 않으려고 호랑이에게 힘껏 매달렸어요.",The cow thief also clung tightly to the tiger to avoid falling off its back.
떨어지다,to fall,Pure Korean,Verb,"소도둑도 호랑이 등에서 떨어지지
 않으려고 호랑이에게 힘껏 매달렸어요.",The cow thief also clung tightly to the tiger to avoid falling off its back.
매달리다,to cling,Pure Korean,Verb,"소도둑도 호랑이 등에서 떨어지지
 않으려고 호랑이에게 힘껏 매달렸어요.",The cow thief also clung tightly to the tiger to avoid falling off its back.
어느새,before one knows it,Pure Korean,Adverb,어느새 날이 밝았어요.,"Before one knew it, dawn broke."
그제야,only then,Pure Korean,Adverb,그제야 소도둑은 자신이 호랑이를 타고 있다는 것을 알게 됐어요.,Only then did the cow thief realize that he was riding a tiger.
나무,tree,Pure Korean,Noun,그런데 그때 커다란 나무가 보였어요.,"But then, a large tree appeared."
재빨리,quickly,Pure Korean,Adverb,소도둑은 재빨리 뛰어서 나무에 매달렸어요.,The cow thief quickly jumped and clung to the tree.
멀리,far away,Pure Korean,Adverb,그리고 소도둑은 호랑이를 피해 멀리 도망갔어요.,And the cow thief ran far away to escape the tiger.
잡아먹히다,to devour,Pure Korean,Verb,아이고 호랑이한테 잡아먹힐 뻔 했네.,"Oh my, I was almost devoured by a tiger."
곶감,dried persimmon,Pure Korean,Noun,"얘야, 엄마가 곶감 줄게, 곶감!","Child, Mom will give you a dried persimmon, a dried persimmon!"
외양간,stable/barn,Pure Korean,Noun,외양간 안에 숨어 있던 호랑이는 누군가 외양간으로 살금살금 들어오는 것을 봤어요.,"The tiger, which had been hiding in the stable, saw someone stealthily entering the stable."
벌벌 떨다,to tremble in fear,Pure Korean,Verb,호랑이는 그것도 모르고 무서워서 벌벌 떨었어요.,"The tiger, unaware of that, trembled in fear."
날이 밝다,day breaks,Pure Korean,Phrase,어느새 날이 밝았어요.,"Before long, day broke."
엎드리다,"to lie face down, to prostrate oneself",Pure Korean,Verb,그리고 소 옆에 몸을 엎드리고 숨었어요.,And it lied face down next to the cow and hid.
더듬다,"to grope, to feel around for",Pure Korean,Verb,천천히 다가온 소도둑이 호랑이 머리를 더듬었어요.,The cow thief slowly approached and felt the tiger's head.
소도둑,cow thief,소 (cow) + 도둑 (thief),Noun,사실 외양간 안으로 들어온 사람은 소를 훔치러 온 소도둑이었어요.,"Actually, the person who entered the stable was a cow thief who came to steal a cow."
