Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
잘,well,Pure Korean,Adverb,아들 청개구리는 엄마 청개구리의 말을 잘 듣지 않았어요.,The son tree frog did not listen well to his mother tree frog's words.
거꾸로,"in reverse, contrarily",Pure Korean,Adverb,무엇이든지 거꾸로 행동해서 엄마 청개구리의 마음을 아프게 했어요.,"He did everything in reverse, hurting his mother tree frog's heart."
행동,"action, behavior","행 (行: go, act) + 동 (動: move, act)",Noun,무엇이든지 거꾸로 행동해서 엄마 청개구리의 마음을 아프게 했어요.,"He did everything in reverse, hurting his mother tree frog's heart."
마음,"heart, mind, feelings",Pure Korean,Noun,무엇이든지 거꾸로 행동해서 엄마 청개구리의 마음을 아프게 했어요.,"He did everything in reverse, hurting his mother tree frog's heart."
아프다,"to be painful, to hurt",Pure Korean,Adjective,무엇이든지 거꾸로 행동해서 엄마 청개구리의 마음을 아프게 했어요.,"He did everything in reverse, hurting his mother tree frog's heart."
곳,place,Pure Korean,Noun,"""얘야, 더러운 곳에서 놀지 말렴.","""My child, don't play in dirty places."""
놀다,to play,Pure Korean,Verb,"""얘야, 더러운 곳에서 놀지 말렴.","""My child, don't play in dirty places."""
흙탕물,muddy water,흙 (Pure Korean: soil) + 탕 (湯: liquid) + 물 (Pure Korean: water),Noun,엄마 청개구리가 이렇게 말하면 아들 청개구리는 지저분한 흙탕물에서 마구 헤엄치며 놀았어요.,"When the mother tree frog said this, the son tree frog would swim wildly and play in the dirty muddy water."
마구,"wildly, recklessly",Pure Korean,Adverb,엄마 청개구리가 이렇게 말하면 아들 청개구리는 지저분한 흙탕물에서 마구 헤엄치며 놀았어요.,"When the mother tree frog said this, the son tree frog would swim wildly and play in the dirty muddy water."
헤엄치다,to swim,Pure Korean,Verb,엄마 청개구리가 이렇게 말하면 아들 청개구리는 지저분한 흙탕물에서 마구 헤엄치며 놀았어요.,"When the mother tree frog said this, the son tree frog would swim wildly and play in the dirty muddy water."
숲,"forest, woods",Pure Korean,Noun,"""얘야, 숲 속에는 뱀이 많으니까 가지 마.","""My child, don't go into the forest because there are many snakes."""
속,inside,Pure Korean,Noun,"""얘야, 숲 속에는 뱀이 많으니까 가지 마.","""My child, don't go into the forest because there are many snakes."""
뱀,snake,Pure Korean,Noun,"""얘야, 숲 속에는 뱀이 많으니까 가지 마.","""My child, don't go into the forest because there are many snakes."""
많다,"to be many, to be numerous",Pure Korean,Adjective,"""얘야, 숲 속에는 뱀이 많으니까 가지 마.","""My child, don't go into the forest because there are many snakes."""
가다,to go,Pure Korean,Verb,"""얘야, 숲 속에는 뱀이 많으니까 가지 마.","""My child, don't go into the forest because there are many snakes."""
위험,danger,"위 (危: danger, risk) + 험 (險: danger, difficulty)",Noun,"위험해.""","It's dangerous."""
일부러,"on purpose, intentionally",Pure Korean,Adverb,엄마 청개구리가 이렇게 말하면 아들 청개구리는 일부러 숲 속에 가서 놀았어요.,"When the mother tree frog said this, the son tree frog would intentionally go and play in the forest."
하마터면,"almost, nearly (used for a near miss)",Pure Korean,Adverb,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He almost got eaten by a snake countless times.
잡아먹히다,to be eaten (up),Pure Korean,Verb,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He almost got eaten by a snake countless times.
뻔,near miss (as in 'almost happened'),Pure Korean,Noun,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He almost got eaten by a snake countless times.
적,"instance, occasion, time",Pure Korean,Noun,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He almost got eaten by a snake countless times.
번,"time(s), count","번 (番: turn, sequence, count)",Noun,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He almost got eaten by a snake countless times.
개굴개굴,ribbit-ribbit (sound of a frog croaking),Pure Korean,Adverb,"""얘야, 개굴개굴 하고 울어 보렴.""","""Hey, my child, try to ribbit-ribbit."""
하다,"to do, to make (a sound)",Pure Korean,Verb,"""얘야, 개굴개굴 하고 울어 보렴.""","""Hey, my child, try to ribbit-ribbit."""
울다,"to cry, to make a sound (for animals)",Pure Korean,Verb,"""얘야, 개굴개굴 하고 울어 보렴.""","""Hey, my child, try to ribbit-ribbit."""
법,"way, method","法 (법: law, method)",Noun,엄마 청개구리가 우는 법을 가르쳐 주었어요.,The mother green frog taught him how to croak.
가르치다,to teach,Pure Korean,Verb,엄마 청개구리가 우는 법을 가르쳐 주었어요.,The mother green frog taught him how to croak.
하지만,"however, but",Pure Korean,Adverb,하지만 아들 청개구리는 엄마 말과 반대로 굴개굴개 하고 울었어요.,"However, the son green frog croaked 'gulgaegulgae' instead, contrary to his mother's words."
반대,"opposite, contrary","反 (반: opposite, against) + 對 (대: to face, to oppose)",Noun,하지만 아들 청개구리는 엄마 말과 반대로 굴개굴개 하고 울었어요.,"However, the son green frog croaked 'gulgaegulgae' instead, contrary to his mother's words."
굴,(part of onomatopoeia 'gulgaegulgae' for a frog's croak),Pure Korean (part of onomatopoeia '굴개굴개'),Noun,하지만 아들 청개구리는 엄마 말과 반대로 굴개굴개 하고 울었어요.,"However, the son green frog croaked 'gulgaegulgae' instead, contrary to his mother's words."
개,(part of onomatopoeia 'gulgaegulgae' for a frog's croak),Pure Korean (part of onomatopoeia '굴개굴개'),Noun,하지만 아들 청개구리는 엄마 말과 반대로 굴개굴개 하고 울었어요.,"However, the son green frog croaked 'gulgaegulgae' instead, contrary to his mother's words."
무조건,"unconditionally, absolutely","無 (무: no, not, un-) + 條 (조: article, item, condition) + 件 (건: item, condition, case)",Adverb,이렇게 아들 청개구리는 엄마의 말에 무조건 반대로 행동했어요.,"Like this, the son green frog unconditionally acted contrary to his mother's words."
때문,"reason, cause (used in 'because of')",Pure Korean,Noun,엄마 청개구리는 이런 아들 청개구리 때문에 정말 속상했어요.,The mother green frog was really upset because of such a son green frog.
정말,"really, truly","眞 (진: true, real) + 實 (실: real, fact)",Adverb,엄마 청개구리는 이런 아들 청개구리 때문에 정말 속상했어요.,The mother green frog was really upset because of such a son green frog.
속상하다,"to be upset, to be distressed",Pure Korean,Adjective,엄마 청개구리는 이런 아들 청개구리 때문에 정말 속상했어요.,The mother green frog was really upset because of such a son green frog.
안,not,Pure Korean,Adverb,"""어휴, 저렇게 말을 안 들어서 어떡하지?""","""Oh dear, what should I do since he doesn't listen to a word I say?"""
어떡하다,"to what to do, to be at a loss",Pure Korean,Verb,"""어휴, 저렇게 말을 안 들어서 어떡하지?""","""Oh dear, what should I do since he doesn't listen to a word I say?"""
그러다,"to do so, to be like that (indicating continuation or transition)",Pure Korean,Verb,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother green frog fell seriously ill."
날,day,Pure Korean,Noun,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother green frog fell seriously ill."
크다,"to be big, to be severe",Pure Korean,Adjective,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother green frog fell seriously ill."
병,"illness, disease","病 (병: illness, disease)",Noun,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother green frog fell seriously ill."
걸리다,"to catch (an illness), to fall ill",Pure Korean,Verb,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother green frog fell seriously ill."
자신,oneself,自 (자: self) + 身 (신: body),Noun,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
곧,"soon, shortly",Pure Korean,Adverb,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
죽다,to die,Pure Korean,Verb,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
되다,"to become, to be (used in future passive construction)",Pure Korean,Verb,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
것,"thing, fact (nominalizer)",Pure Korean,Noun,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
알다,to know,Pure Korean,Verb,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother green frog knew that she would soon die.
그래서,"so, therefore",Pure Korean,Adverb,그래서 아들 청개구리를 불러서 이렇게 말했어요.,So she called her son green frog and spoke to him like this.
부르다,to call,Pure Korean,Verb,그래서 아들 청개구리를 불러서 이렇게 말했어요.,So she called her son green frog and spoke to him like this.
꼭,"surely, certainly, without fail",Pure Korean,Adverb,"""내가 죽으면 나를 꼭 시냇가에 묻어 주렴.","""When I die, make sure to bury me by the stream."""
시냇가,"stream bank, brookside",Pure Korean,Noun,"""내가 죽으면 나를 꼭 시냇가에 묻어 주렴.","""When I die, make sure to bury me by the stream."""
절대,"absolutely, never","絶 (절: cut off, absolute) + 對 (대: oppose, confront)",Adverb,"절대 산에 묻으면 안 돼.""",You absolutely must not bury it in the mountain.
산,mountain,山 (산: mountain),Noun,"절대 산에 묻으면 안 돼.""",You absolutely must not bury it in the mountain.
묻히다,to be buried,Pure Korean,Verb,엄마 청개구리는 산에 묻히고 싶었어요.,Mother frog wanted to be buried in the mountain.
걱정,"worry, concern",Pure Korean,Noun,하지만 산에 묻어 달라고 하면 아들이 자신을 시냇가에 묻어 줄까 봐 걱정됐어요.,"However, she worried that if she asked her son to bury her in the mountain, he might bury her by the stream instead."
그러면,"then, in that case",Pure Korean,Adverb,그러면 아들이 반대로 자신을 산에 묻어 줄 거라고 생각했어요.,Then she thought her son would do the opposite and bury her in the mountain.
거,"thing, fact",Pure Korean,Noun,그러면 아들이 반대로 자신을 산에 묻어 줄 거라고 생각했어요.,Then she thought her son would do the opposite and bury her in the mountain.
생각,"thought, idea",Pure Korean,Noun,그러면 아들이 반대로 자신을 산에 묻어 줄 거라고 생각했어요.,Then she thought her son would do the opposite and bury her in the mountain.
얼마,"some, a little while",Pure Korean,Noun,얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.,"Some time later, Mother frog passed away."
뒤,"after, later",Pure Korean,Noun,얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.,"Some time later, Mother frog passed away."
세상,world,"世 (세: world, generation) + 上 (상: up, above)",Noun,얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.,"Some time later, Mother frog passed away."
떠나다,"to leave, to depart (to pass away)",Pure Korean,Verb,얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.,"Some time later, Mother frog passed away."
눈물,tears,Pure Korean,Noun,엄마 청개구리가 죽자 아들 청개구리는 눈물을 펑펑 흘렸어요.,"When Mother frog died, the son frog cried profusely."
펑펑,"profusely, copiously",Pure Korean,Adverb,엄마 청개구리가 죽자 아들 청개구리는 눈물을 펑펑 흘렸어요.,"When Mother frog died, the son frog cried profusely."
흘리다,"to shed, to drop",Pure Korean,Verb,엄마 청개구리가 죽자 아들 청개구리는 눈물을 펑펑 흘렸어요.,"When Mother frog died, the son frog cried profusely."
돌아가다,"to pass away, to return",Pure Korean,Verb,나 때문에 엄마가 돌아가셨어.,My mother passed away because of me.
후회,regret,"後 (후: after, behind) + 悔 (회: regret)",Noun,아들 청개구리는 엄마 말을 듣지 않았던 걸 후회했어요.,The son frog regretted not listening to his mother's words.
그리고,"and, then",Pure Korean,Adverb,그리고 아들 청개구리는 이렇게 생각했어요.,And then the son frog thought this.
마지막,"last, final",Pure Korean,Noun,"""마지막으로 엄마가 남기신 말씀은 꼭 들어야지.""","""I must definitely listen to the last words my mother left."""
남기다,to leave (behind),Pure Korean,Verb,"""마지막으로 엄마가 남기신 말씀은 꼭 들어야지.""","""I must definitely listen to the last words my mother left."""
말씀,"word, speech",Pure Korean,Noun,"""마지막으로 엄마가 남기신 말씀은 꼭 들어야지.""","""I must definitely listen to the last words my mother left."""
그대로,"as it is, exactly as",Pure Korean,Adverb,아들 청개구리는 엄마 청개구리가 말한 그대로 엄마 청개구리를 시냇가에 묻었어요.,"The son frog buried Mother frog by the stream, exactly as Mother frog had said."
후,after,"後 (후: after, behind)",Noun,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
하루,one day,Pure Korean,Noun,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
비,rain,Pure Korean,Noun,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
많이,"a lot, heavily",Pure Korean,Adverb,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
내리다,to fall (rain),Pure Korean,Verb,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
시작,"start, beginning","始 (시: begin, start) + 作 (작: make, do)",Noun,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"After burying his mother, it began to rain heavily one day."
갑자기,suddenly,Pure Korean,Adverb,아들 청개구리는 갑자기 엄마 청개구리의 무덤이 걱정되기 시작했어요.,"Suddenly, the son frog began to worry about Mother frog's grave."
무덤,"grave, tomb",Pure Korean,Noun,아들 청개구리는 갑자기 엄마 청개구리의 무덤이 걱정되기 시작했어요.,"Suddenly, the son frog began to worry about Mother frog's grave."
오다,"to come, to fall (rain)",Pure Korean,Verb,"""비가 와서 엄마 무덤이 떠내려가면 어떡하지?","""What if the rain comes and washes away Mother's grave?"""
떠내려가다,"to be washed away, to float away",Pure Korean,Verb,"""비가 와서 엄마 무덤이 떠내려가면 어떡하지?","""What if Mom's grave gets washed away because of the rain?"""
지키다,"to protect, to guard",Pure Korean,Verb,"내가 가서 무덤을 지켜야겠어.""","""I should go and protect the grave."""
보다,"to see, to look",Pure Korean,Verb,시냇가에 가서 보니 엄마 청개구리의 무덤이 정말로 떠내려가려고 했어요.,"When he went to the stream, he saw that Mother Frog's grave was really about to be washed away."
정말로,"really, truly",Pure Korean,Adverb,시냇가에 가서 보니 엄마 청개구리의 무덤이 정말로 떠내려가려고 했어요.,"When he went to the stream, he saw that Mother Frog's grave was really about to be washed away."
소리,"sound, cry",Pure Korean,Noun,아들 청개구리는 무덤이 떠내려갈까 봐 걱정돼 크게 소리 내어 울었어요.,Son Frog cried loudly because he was worried that the grave might be washed away.
내다,"to make, to produce",Pure Korean,Verb,아들 청개구리는 무덤이 떠내려갈까 봐 걱정돼 크게 소리 내어 울었어요.,Son Frog cried loudly because he was worried that the grave might be washed away.
그날,that day,Pure Korean,Noun,그날 이후 아들 청개구리는 비가 오는 날이면 엄마 청개구리의 무덤으로 갔어요.,"Since that day, whenever it rained, Son Frog went to Mother Frog's grave."
이후,"after, since","以 (이: by, after) + 後 (후: after, back)",Noun,그날 이후 아들 청개구리는 비가 오는 날이면 엄마 청개구리의 무덤으로 갔어요.,"Since that day, whenever it rained, Son Frog went to Mother Frog's grave."
지금,now,"只 (지: only, merely) + 今 (금: now)",Noun,그래서 지금도 비가 오는 날이면 시냇가에 있는 청개구리가 개굴개굴 하고 크게 우는 거라고 해요.,"That's why it's said that even now, whenever it rains, the tree frogs by the stream croak loudly."
있다,"to be, to exist, to be located",Pure Korean,Verb,그래서 지금도 비가 오는 날이면 시냇가에 있는 청개구리가 개굴개굴 하고 크게 우는 거라고 해요.,"That's why it's said that even now, whenever it rains, the tree frogs by the stream croak loudly."
[X]한 적이 한두 번이 아니다,"The times [X] happened were not just once or twice./it happened many times" or "it happened more than once.",Pure Korean,Phrase,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,"There was more than one occasion where he was almost eaten by a snake."
"~지 말렴","please don't do (gentle command)","~지 말다 (to stop/cease) + ~렴 (gentle imperative suffix)","Grammar Pattern","얘야, 더러운 곳에서 놀지 말렴.","My child, please don't play in dirty places."
"말다","to stop / to cease / to not do","Base auxiliary verb meaning to cease an action","Auxiliary Verb","놀지 말다.","To stop playing / Do not play."
"하마터면 ~ㄹ/을 뻔한 적이 한두 번이 아니다","almost happened many times / more than once","하마터면 (almost) + ~ㄹ 뻔하다 (almost did) + ~ㄴ 적 (experience) + 한두 번 (1-2 times) + 아니다 (not)","Idiomatic Phrase","하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.","There was more than one occasion where he was almost eaten by a snake."
"~은/ㄴ 적이 (있다/없다)","the occasion or past experience of doing something","적 (the time/experience) + 이 (subject marker)","Bound Noun + Particle","한국에 간 적이 있어요.","I have been to Korea."
"~달라고 하다","to ask someone to do something for the speaker","달다 (to give to speaker) + ~고 하다 (indirect quotation marker)","Grammar Pattern","산에 묻어 달라고 하면 아들이 자신을 시냇가에 묻어 줄까 봐 걱정됐어요.","If she asked him to bury her in the mountains, she was worried he might bury her by the stream."
"~ㄹ/을까 봐","to be worried or afraid that something might happen","~ㄹ/을까 (might it...?) + 봐 (to consider/guess, from 보다)","Grammar Pattern","아들이 자신을 시냇가에 묻어 줄까 봐 걱정됐어요.","She was worried that her son might bury her by the stream."
"~은/ㄴ 거야","it is the fact that... / the case is that... (realization)","~은/ㄴ (past modifier) + 거 (fact/thing) + 야 (casual 'to be')","Sentence Ending","내가 말을 듣지 않아서 엄마가 큰 병에 걸리신 거야.","Because I didn't listen, it is the fact that mom caught a terrible illness."
"말씀","words / speech (honorific)","Honorific form of 말 (word/speech)","Noun (Honorific)","마지막으로 엄마가 남기신 말씀은 꼭 들어야지.","I must absolutely listen to the very last words my mom left behind."
"~면","if / when (conditional)","Conditional marker","Grammar Pattern","비가 와서 엄마 무덤이 떠내려가면 어떡하지?","What if mom's grave washes away in the rain?"
"~아야/어야겠다","I must / I will have to (strong intention and obligation)","~아/어야 하다 (must) + ~겠~ (future intention)","Grammar Pattern","내가 가서 무덤을 지켜야겠어.","I will have to go and protect the grave."
"~고 보니 / ~아/어서 보니","when I looked / as I did [action], I discovered...","보다 (to see/look) + ~니(까) (discovery marker)","Grammar Pattern","시냇가에 가서 보니 엄마 청개구리의 무덤이 정말로 떠내려가려고 했어요.","When he went to the stream and looked, mother green frog's grave was truly about to wash away."
"~려고 하다","to be about to do something / to intend to","~려고 (intention/verge of) + 하다 (to do)","Grammar Pattern","엄마 청개구리의 무덤이 정말로 떠내려가려고 했어요.","Mother green frog's grave was truly about to wash away."
"A이/가 아닌 B","B, which is not A / B instead of A","아니다 (to not be) + ~은/ㄴ (noun modifier)","Grammar Pattern","그래서 일부러 산이 아닌 시냇가에 묻어 달라고 했어요.","So she purposely asked to be buried by the stream instead of the mountains."
"세상을 떠나다","to pass away / to depart this world","세상 (world) + 을 (object particle) + 떠나다 (to leave)","Idiom","얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.","A little while later, the mother frog passed away."
"~고 말다","to end up doing / finally happened (sad/regretful nuance)","~고 (connective) + 말다 (to cease/end)","Grammar Pattern","얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.","A little while later, the mother frog sadly passed away in the end."
"ㄹ 불규칙 (ㄹ irregular)","ㄹ dropping when followed by ㅅ, ㄴ, or ㅂ","ㄹ verb stem ending + suffix starting with ㅅ, ㄴ, ㅂ","Grammar Rule","제발 떠나지 마세요.","Please don't leave."
"~면 (Habitual)","whenever / every time / when","Conditional suffix used for recurring actions","Grammar Pattern","엄마 청개구리가 이렇게 말하면 아들 청개구리는... 놀았어요.","Whenever the mother frog spoke like this, the son frog... played."
"~으며 / ~며","while / and (simultaneous action)","Verb stem + ~(으)며","Grammar Pattern","헤엄치며 놀았어요.","He played while swimming."
"마구","wildly / recklessly / randomly","Adverb","Adverb","흙탕물에서 마구 헤엄치며 놀았어요.","He swam wildly in the muddy water."
"~ㄹ/을 거-","future tense marker (contraction)","Contraction of ~ㄹ/을 것 (the thing that will...)","Grammar Pattern","아들이 자신을 산에 묻어 줄 거라고 생각했어요.","She thought that her son would bury her in the mountains."
"~라고 (Indirect Quote)","that... (used with nouns/이다)","Particle used to quote a noun or the verb 'to be'","Particle","엄마는 아들이 반대로 행동할 거라고 믿었어요.","The mother believed that her son would act in reverse."
"~ㄹ/을 거라고 (Contraction)","(quoted) that [someone] will do [something]","Contraction of ~ㄹ/을 것이라고","Grammar Pattern","비가 올 거라고 생각해요.","I think it will rain."
