Korean	Part of Speech	Example Sentence	English	Sentence Translation	Etymology
~어야	Grammar Suffix	열심히 연습해야 시험에 합격할 수 있어요.	only if / must... in order to	Only if you practice hard can you pass the exam.	Connective particle establishing an essential condition
어디선가	Adverb	어디선가 달콤한 냄새가 풍겨왔어요.	from somewhere	A sweet smell drifted in from somewhere.	어디 (where) + 에서 (from) + 인가 (uncertainty marker)
소리가 나다	Phrase	컴퓨터에서 이상한 소리가 나기 시작했어요.	to make a sound / a sound occurs	A strange sound started coming out from the computer.	소리 (sound) + 가 (subject marker) + 나다 (to emerge/occur)
~보니	Grammar Suffix	매일 운동을 해 보니 몸이 아주 가벼워졌어요.	upon doing... I found that	Upon exercising every day, I found that my body became very light.	~고 보니 / ~어 보니 (try doing and discovering a result)
자신 있다	Phrase	저는 한국어 말하기 시험에 자신 있어요.	to be confident	I am confident in the Korean speaking test.	자신 (self-confidence) + 있다 (to exist/have)
당당하게	Adverb	그는 자신의 잘못을 당당하게 인정했어요.	proudly / confidently / boldly	He confidently acknowledged his mistake.	당당하다 (to be dignified/confident) + ~게 (adverbializer)
~어 보이다	Grammar Suffix	오늘 아주 피곤해 보이는데 무슨 일 있어요?	to look like / appear to be	You look very tired today; is something the matter?	아/어 (connective particle) + 보이다 (to be seen/appear)
번쩍 들어 올리다	Phrase	역도는 무거운 바벨을 번쩍 들어 올렸어요.	to lift up with ease in one motion	The weightlifter lifted the heavy barbell up with ease.	번쩍 (mimetic word for sudden/effortless lift) + 들어 올리다 (to lift up)
~어 달라고 하다	Grammar Suffix	아이가 엄마에게 장난감을 사 달라고 했어요.	to ask someone to do a favor	The child asked their mother to buy a toy for them.	~어 주다 (to do for someone) + 달라고 (requesting for self) + 하다 (to say/ask)
혼내주다	Grammar/Verb	경찰이 나쁜 행동을 한 도둑을 혼내주었어요.	to punish / teach a lesson / scold	The police punished the thief who did bad deeds.	혼 (spirit/mind) + 내다 (to draw out) + 주다 (to give the action)
돌려주다	Grammar/Verb	친구에게 빌린 책을 오늘 돌려주었어.	to return / give back	I returned the book I borrowed from my friend today.	돌리다 (to turn/shift) + 주다 (to give)
~읍시다	Grammar Suffix	우리 같이 열심히 공부해 봅시다.	Let's... (formal polite proposal)	Let's try studying hard together.	Formal hortative sentence ending
만세	Noun/Exclamation	대한민국 만세! 라고 사람들이 외쳤다.	Hurrah! / Long live!	People shouted, 'Long live the Republic of Korea!'	萬歲 (Sino-Korean: Ten thousand years of longevity/prosperity)
반드시	Adverb	이번에는 반드시 약속을 지키겠습니다.	without fail / certainly / by all means	This time, I will keep my promise without fail.	Pure Korean adverb indicating absolute certainty
~려고 하자	Grammar Suffix	외출하려고 하자 갑자기 비가 내리기 시작했어요.	just as someone was about to / when trying to	Just as I was about to go out, it suddenly started to rain.	~려고 하다 (intend to do) + ~자 (as soon as)
도술을 부리다	Phrase	도사님이 신기한 도술을 부려 비를 내리게 했다.	to perform magic / practice sorcery	The Taoist master performed marvelous magic to make it rain.	도술 (道術: supernatural art) + 을 + 부리다 (to practice/wield/manage)
똑같이 생기다	Phrase	그 쌍둥이는 얼굴이 똑같이 생겼어요.	to look exactly identical	Those twins look exactly identical in the face.	똑같이 (exactly the same) + 생기다 (to look like/appear)
이곳저곳	Noun	봄이 오자 길가에 이곳저곳 꽃이 피었습니다.	here and there / everywhere	As spring arrived, flowers bloomed here and there along the roadside.	이곳 (this place) + 저곳 (that place)
~자	Grammar Suffix	선생님이 교실에 들어오시자 학생들이 조용해졌어요.	when / as soon as (consecutive/causal connection)	As soon as the teacher entered the classroom, the students became quiet.	Connective clause particle
고민에 빠지다	Phrase	그는 진로 문제 때문에 깊은 고민에 빠졌어요.	to fall into deep worry / dilemma	He fell into deep worry due to his career path options.	고민 (苦悶: agony/worry) + 에 (into) + 빠지다 (to fall/sink)
오히려	Adverb	약을 먹었는데 오히려 병이 더 심해진 것 같아요.	rather / on the contrary / instead	I took medicine, but on the contrary, the illness seems to have become worse.	Pure Korean adverb indicating an unexpected contrast
나라를 위해	Phrase	그 영웅은 나라를 위해 목숨을 바쳤습니다.	for the country / for the sake of the nation	The hero sacrificed his life for the country.	나라 (country) + 를 + 위해 (for the sake of)
~어야겠다	Grammar Suffix	날씨가 추우니 따뜻한 외투를 입어야겠다.	I should / I must / think I will have to	Since the weather is cold, I think I should wear a warm coat.	~어야 하다 (must) + ~겠다 (volition/conjecture)
~며 / ~으며	Grammar Suffix	그녀는 환하게 웃으며 나에게 인사를 건넸다.	while / and (simultaneous or formal listing)	She handed me a greeting while smiling brightly.	Connective particle for concurrent states or actions
바다를 건너	Phrase	그들은 새로운 삶을 찾아 바다를 건너 이주했습니다.	crossing the sea	They crossed the sea and migrated in search of a new life.	바다 (sea) + 를 + 건너다 (to cross)
