Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
잡아먹다,"to eat (someone/something alive), to prey on",,Verb,떡 하나 주면 안 잡아먹지!”,"Give me one rice cake, and I won't eat you!”",
얼른,"quickly, promptly",Pure Korean,Adverb,그래서 얼른 남은 떡을 꺼내 호랑이에게 주었어요.,"So, she quickly took out the remaining rice cakes and gave them to the tiger.",
꺼내다,"to take out, to pull out",Pure Korean,Verb,그래서 얼른 남은 떡을 꺼내 호랑이에게 주었어요.,"So, she quickly took out the remaining rice cakes and gave them to the tiger.",
진짜로,"truly, really",,Adverb,떡 하나 더 주면 진짜로 안 잡아먹지!”,"Give me one more rice cake, and I truly won't eat you!”",
제발,"please, I beg you",,Adverb,제발 살려 주세요!”,Please save me!”,
살리다,"to save, to revive",,Verb,제발 살려 주세요!”,Please save me!”,
생각나다,"to recall, to come to mind",Pure Korean,Verb,어머니를 잡아먹은 호랑이는 집에 아이들이 있다는 어머니의 말이 생각났어요.,"The tiger, who had eaten the mother, recalled the mother's words that there were children at home.",
언제,when,,Adverb,“엄마는 언제 오실까?”,“When will Mom come?”,
두드리다,"to knock, to tap",Pure Korean,Verb,그때 누군가 문을 두드렸어요.,"Just then, someone knocked on the door.",
느끼다,"to feel, to sense",Pure Korean,Verb,그런데 그때 엄마 목소리가 이상하다는 걸 느낀 오빠가 동생을 막으며 말했어요.,"But then, the older brother, who sensed that his mom's voice was strange, stopped his sister and said...",
막다,"to block, to stop",Pure Korean,Verb,그런데 그때 엄마 목소리가 이상하다는 걸 느낀 오빠가 동생을 막으며 말했어요.,"But then, the older brother, who sensed that his mom's voice was strange, stopped his sister and said...",
잠시,"for a moment, a moment",,Adverb,"“잠시만, 우리 엄마 목소리가 아니야.”","“Wait a moment, that's not our mom's voice.”",
당황,"perplexity, embarrassment","唐 (당: absurd, empty) + 慌 (황: flustered, confused)",Noun,호랑이는 당황했어요.,The tiger was perplexed.,
어서,"quickly, come on",,Adverb,어서 문 열어.”,"Open the door, quickly!”",
내밀다,"to stick out, to put out",,Verb,“그럼 손을 한번 내밀어 보세요.”,“Then try sticking out your hand.”,
문틈,"door crack, door gap",Pure Korean,Noun,오빠의 말에 호랑이가 문틈으로 손을 내밀었어요.,"At the older brother's words, the tiger stuck its hand through the crack in the door.",
거칠다,"to be rough, to be coarse",Pure Korean,Adjective,어머니의 하얀 손이 아닌 거친 털이 나 있는 손이었어요.,"It was not his mother's white hand, but a hand with rough fur.",
털,"fur, hair (animal)",Pure Korean,Noun,어머니의 하얀 손이 아닌 거친 털이 나 있는 손이었어요.,"It was not his mother's white hand, but a hand with rough fur.",
깜짝,"with a start, suddenly (used to describe being startled)",Pure Korean,Adverb,깜짝 놀란 오빠는 문틈으로 밖을 엿보았어요.,"The older brother, startled, peered outside through the crack in the door.",
놀라다,"to be surprised, to be startled",Pure Korean,Verb,깜짝 놀란 오빠는 문틈으로 밖을 엿보았어요.,"The older brother, startled, peered outside through the crack in the door.",
엿보다,"to peep, to peek",Pure Korean,Verb,깜짝 놀란 오빠는 문틈으로 밖을 엿보았어요.,The surprised older brother peeped outside through the crack in the door.,
도망가다,"to run away, to escape","도망 (逃亡: 逃 (도: escape) + 亡 (망: flee, perish)) + 가다 (Pure Korean: to go)",Verb,얼른 도망가자!”,Let's quickly run away!,
뒷문,back door,뒤 (Pure Korean: back) + 문 (門: 문: door),Noun,문밖에 있는 호랑이를 보고 깜짝 놀란 남매는 뒷문을 통해 도망갔어요.,"The siblings, surprised to see the tiger outside the door, ran away through the back door.",
뒷마당,backyard,Pure Korean,Noun,남매는 뒷마당에 있는 나무 위로 올라갔어요.,The siblings climbed up a tree in the backyard.,
나무,tree,Pure Korean,Noun,남매는 뒷마당에 있는 나무 위로 올라갔어요.,The siblings climbed up a tree in the backyard.,
뒤늦다,"to be late, to be belated",Pure Korean,Adjective,뒤늦게 방에 들어온 호랑이는 뒷문이 열려 있는 걸 발견했어요.,"The tiger, who belatedly entered the room, discovered that the back door was open.",
발견,discovery,"發見 (발견: 發 (발: reveal, open) + 見 (견: see, find))",Noun,뒤늦게 방에 들어온 호랑이는 뒷문이 열려 있는 걸 발견했어요.,"The tiger, who belatedly entered the room, discovered that the back door was open.",
시작,"start, beginning","始作 (시작: 始 (시: begin, start) + 作 (작: make, do))",Noun,호랑이는 남매를 찾기 시작했어요.,The tiger began to look for the siblings.,
우물,well (for water),Pure Korean,Noun,뒷마당에 있는 우물에 남매의 모습이 비쳤어요.,The siblings' reflection appeared in the well in the backyard.,
비치다,"to be reflected, to appear (as a reflection)",Pure Korean,Verb,뒷마당에 있는 우물에 남매의 모습이 비쳤어요.,The siblings' reflection appeared in the well in the backyard.,
나뭇잎,leaf (of a tree),Pure Korean,Noun,나무에서 나뭇잎이 떨어져 우물 안으로 들어갔어요.,A leaf fell from the tree and went into the well.,
떨어지다,to fall,Pure Korean,Verb,나무에서 나뭇잎이 떨어져 우물 안으로 들어갔어요.,A leaf fell from the tree and went into the well.,
사라지다,"to disappear, to vanish",Pure Korean,Verb,그러자 우물 안에 비친 남매의 모습이 사라졌어요.,"Then, the siblings' reflection in the well disappeared.",
숨다,to hide,Pure Korean,Verb,"“어흥, 우물 안에 숨은 게 아니었구나!”",“Roar! So they weren't hiding in the well after all!”,
점점,"gradually, increasingly",漸漸 (점점: 漸 (점: gradually) + 漸 (점: gradually)),Adverb,호랑이는 남매가 있는 곳에 점점 가까워졌어요.,The tiger gradually got closer to where the siblings were.,
감다,to close (eyes),Pure Korean,Verb,오빠는 눈을 꼭 감고 기도하기 시작했어요.,The older brother tightly closed his eyes and began to pray.,
기적,miracle,"奇蹟 (기적: 奇 (기: strange, wonderful) + 蹟 (적: trace, footprint, marvel))",Noun,기적처럼 하늘에서 동아줄이 쑥 내려왔어요.,"Like a miracle, a thick rope suddenly came down from the sky.",
동아줄,"thick rope, twisted straw rope",Pure Korean,Noun,기적처럼 하늘에서 동아줄이 쑥 내려왔어요.,"Like a miracle, a thick rope suddenly came down from the sky.",
쑥,"suddenly, quickly (with a pulling or emerging motion)",Pure Korean,Adverb,기적처럼 하늘에서 동아줄이 쑥 내려왔어요.,"Like a miracle, a thick rope suddenly came down from the sky.",
내려오다,"to come down, to descend",Pure Korean,Verb,기적처럼 하늘에서 동아줄이 쑥 내려왔어요.,"Like a miracle, a thick rope suddenly came down from the sky.",
매달리다,"to hang, to cling",Pure Korean,Verb,남매는 얼른 동아줄에 매달렸어요.,The siblings quickly clung to the rope.,
데리다,"to take (a person/animal), to bring (a person/animal)",Pure Korean,Verb,동아줄은 남매를 데리고 하늘로 올라갔어요.,The rope took the siblings up to the sky.,
또,"again, also, another",Pure Korean,Adverb,하늘에서 또 동아줄이 내려왔어요.,Another rope came down from the sky.,
신,"excitement, joy",Pure Korean,Noun,호랑이는 남매를 잡을 수 있다는 생각에 신이 났어요.,The tiger got excited at the thought that it could catch the siblings.,
뚝,"with a snap, with a thud",Pure Korean,Adverb,호랑이가 매달려 있던 동아줄이 뚝 끊어졌어요.,The rope the tiger was hanging from snapped.,
끊어지다,"to break, to snap, to be cut off",Pure Korean,Verb,호랑이가 매달려 있던 동아줄이 뚝 끊어졌어요.,The rope the tiger was hanging from snapped.,
썩다,"to rot, to decay",Pure Korean,Verb,호랑이에게 내려온 동아줄은 사실 썩은 동아줄이었어요.,The rope that came down for the tiger was actually a rotten rope.,
못되다,"to be bad, to be wicked",Pure Korean,Adjective,"하늘에서 착한 남매에게는 튼튼한 동아줄을 내려 주고, 못된 호랑이에게는 썩은 동아줄을 내려 준 거예요.",Heaven sent a sturdy rope to the good siblings and a rotten rope to the wicked tiger.,
무사히,"safely, without incident","無事 (무사: 無 (무: no, not) + 事 (사: matter, event))",Adverb,튼튼한 동아줄에 매달린 남매는 무사히 하늘로 올라갔어요.,"The siblings, hanging onto the sturdy rope, safely went up to the sky.",
비추다,"to shine upon, to illuminate",Pure Korean,Verb,"그 후로 동생은 해가 되고, 오빠는 달이 되어 세상을 밝게 비추었다고 해요.","After that, the younger sibling became the sun and the older sibling became the moon, illuminating the world brightly.",
떡 하나 주면 안 잡아먹지!,Give me a rice cake and I won't eat you!,떡 (rice cake) + 하나 (one) + 주다 (give) + -면 (if) + 잡아먹다 (devour) + -지 (certainty),Idiomatic Phrase,호랑이는 고개를 넘을 때마다 "떡 하나 주면 안 잡아먹지!"라고 외쳤어요.,Every time it crossed a hill the tiger shouted "Give me a rice cake and I won't eat you!"
-아/어 버리다,to end up doing / completely finish,버리다 (to throw away / used as an auxiliary verb),Grammar Pattern,어머니는 호랑이에게 잡아먹혀 버렸어요.,The mother ended up being devoured by the tiger.
-ㄹ/을 텐데,must be / likely that...,터 (intention/expectation) + 이다 (to be) + -ㄴ데 (clausal connective),Grammar Pattern,집에서 아이들이 기다릴 텐데 걱정이에요.,The children must be waiting at home so I am worried.
쑥,smoothly / suddenly / swiftly,Onomatopoeia (motion),Adverb,하늘에서 튼튼한 동아줄이 쑥 내려왔어요.,A sturdy rope came sliding down swiftly from the sky.
-기만을 기다리다,to do nothing but wait for...,-기 (noun maker) + -만 (only) + 을 (object marker) + 기다리다 (wait),Phrase,남매는 엄마가 오시기만을 기다리고 있었어요.,The siblings were doing nothing but waiting for their mother's arrival.
동아줄,a thick sturdy rope / a lifeline,동아 (thick/braided) + 줄 (rope/cord),Noun,위기의 순간에 하늘에서 동아줄이 내려왔어요.,In a moment of crisis a lifeline came down from the sky.
-았다/었다가,to do something and then (shift in action),-았/었 (past tense) + -다가 (transferative),Grammar Pattern,어머니는 옆 마을에 갔다가 집으로 오는 길이었어요.,The mother went to the next village and was on her way home.
뒤늦게,belatedly / too late,뒤 (behind/after) + 늦다 (to be late) + -게 (adverb maker),Adverb,호랑이는 뒤늦게 아이들이 도망간 것을 알았어요.,The tiger realized too late that the children had run away.
문틈,a gap in the door,문 (door) + 틈 (gap/crack),Noun,오빠는 문틈으로 밖을 내다보았어요.,The older brother looked outside through the gap in the door.
썩은 동아줄,a rotten rope / a false hope,썩다 (to rot) + -ㄴ (adjective marker) + 동아줄 (thick rope),Idiomatic Phrase,호랑이는 썩은 동아줄을 잡아서 땅으로 떨어졌어요.,The tiger grabbed a rotten rope and fell to the ground.
