Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
핸드폰,cell phone,Pure Korean,Noun,핸드폰이 울렸다.,My cell phone rang.
울리다,to ring,Pure Korean,Verb,핸드폰이 울렸다.,My cell phone rang.
확인,check,"確 (확: certain, firm) + 認 (인: recognize, acknowledge)",Noun,핸드폰을 확인해 봤다.,I checked my cell phone.
미안,apology,"未 (미: not yet, not) + 安 (안: peace, comfortable)",Noun,"문자: “나야, 민호. 오늘 미안해. 수업이 있어서 점심 같이 못 먹어서 미안해. 혹시 너무 늦지 않았다면, 우리 내일 같이 점심 먹을래?”","Text: 'It's me, Minho. I'm sorry about today. I'm sorry I couldn't eat lunch with you because I had class. If it's not too late, how about we have lunch together tomorrow?'"
날다,to fly,Pure Korean,Verb,하늘을 날 것 같은 기분이었다.,I felt like I was flying in the sky.
방금,just now,Pure Korean,Adverb,"방금 전에는 나는 너무 우울하고 슬펐는데, 갑자기 세상이 달라 보였다.","Just a moment ago, I was so depressed and sad, but suddenly the world looked different."
우울,depression,"憂 (우: worry, sorrow) + 鬱 (울: gloomy, stagnant)",Noun,"방금 전에는 나는 너무 우울하고 슬펐는데, 갑자기 세상이 달라 보였다.","Just a moment ago, I was so depressed and sad, but suddenly the world looked different."
갑자기,suddenly,Pure Korean,Adverb,"방금 전에는 나는 너무 우울하고 슬펐는데, 갑자기 세상이 달라 보였다.","Just a moment ago, I was so depressed and sad, but suddenly the world looked different."
다르다,to be different,Pure Korean,Adjective,"방금 전에는 나는 너무 우울하고 슬펐는데, 갑자기 세상이 달라 보였다.",Suddenly the world looked different.
은수,Eunsu (name),Pure Korean,Noun,"문자: “나야, 은수. 아 정말? 내일? 그래. 좋아. 그러면 어디서 만날까?”","Text: 'It's me, Eunsu. Oh really? Tomorrow? Okay. Sounds good. So where should we meet?'"
정말,really,"實 (실: real, true) + 말 (말: word, speech)",Adverb,"문자: “나야, 은수. 아 정말? 내일? 그래. 좋아. 그러면 어디서 만날까?”",Oh really? Tomorrow? Okay. Sounds good.
그러면,then,Pure Korean,Adverb,"문자: “나야, 은수. 아 정말? 내일? 그래. 좋아. 그러면 어디서 만날까?”",So where should we meet?
최대한,to the maximum extent,"最 (최: most, superlative) + 大 (대: big, large) + 限 (한: limit, boundary)",Adverb,나는 최대한 내 기쁜 마음을 감추려고 노력했다.,I tried my best to hide my happy feelings.
감추다,to hide,Pure Korean,Verb,나는 최대한 내 기쁜 마음을 감추려고 노력했다.,I tried my best to hide my happy feelings.
노력,effort,"努 (노: strive, exert) + 力 (력: strength, power)",Noun,나는 최대한 내 기쁜 마음을 감추려고 노력했다.,I tried my best to hide my happy feelings.
웃음,laughter,Pure Korean,Noun,하지만 웃음을 멈출 수 없었다.,But I couldn't stop smiling/laughing.
멈추다,to stop,Pure Korean,Verb,하지만 웃음을 멈출 수 없었다.,But I couldn't stop smiling/laughing.
답장,reply,"答 (답: answer, reply) + 狀 (장: letter, form)",Noun,5 분 후에 답장이 왔다.,"Five minutes later, a reply came."
서울,Seoul,Pure Korean,Noun,문자: “내일 그럼 서울에 있는 한 카페에서 만나자. 맛있는 거 사줄게. 내일 날씨가 춥다고 들었어. 따뜻하게 입고 나와. 그럼 내일 봐 은수야”,"Message: “Okay, then let’s meet at a cafe in Seoul tomorrow. I’ll buy you something delicious. I heard the weather will be cold tomorrow. Dress warmly. See you tomorrow, Eunsu.”"
친절,kindness,"親 (친: intimate) + 切 (절: appropriate, eager)",Noun,"친절한 말투, 그리고 우리가 내일 함께 점심을 먹을 것을!","His kind tone, and the fact that we would have lunch together tomorrow!"
말투,tone of voice,Pure Korean,Noun,"친절한 말투, 그리고 우리가 내일 함께 점심을 먹을 것을!","His kind tone, and the fact that we would have lunch together tomorrow!"
우선,"first, first of all","優 (우: excellent, superior) + 先 (선: before, ahead)",Adverb,우선 내일 무엇을 입을지 정하기 위해 옷장을 확인했다.,"First, I checked my closet to decide what to wear tomorrow."
정하다,"to decide, to choose",Pure Korean,Verb,우선 내일 무엇을 입을지 정하기 위해 옷장을 확인했다.,"First, I checked my closet to decide what to wear tomorrow."
옷장,"closet, wardrobe",Pure Korean,Noun,우선 내일 무엇을 입을지 정하기 위해 옷장을 확인했다.,"First, I checked my closet to decide what to wear tomorrow."
여성,"woman, female","女 (여: woman, female) + 性 (성: nature, character, sex)",Noun,내일 날씨가 춥더라도 같이 처음 하는 식사일 거라서 여성스러운 원피스를 입어야 한다.,"Even if the weather is cold tomorrow, it'll be our first meal together, so I need to wear a feminine dress."
원피스,one-piece dress,Pure Korean,Noun,내일 날씨가 춥더라도 같이 처음 하는 식사일 거라서 여성스러운 원피스를 입어야 한다.,"Even if the weather is cold tomorrow, it'll be our first meal together, so I need to wear a feminine dress."
화장,makeup,"化 (화: change, transform) + 粧 (장: makeup, adornment)",Noun,내일은 화장도 예쁘게 해야겠다고 결심했다.,I decided I should do my makeup nicely tomorrow too.
준비,preparation,"準 (준: standard, accurate) + 備 (비: prepare, equip)",Noun,한 시간 안에 준비하고 나가야 되어서 빨리 샤워부터 했다.,"I had to get ready and leave within an hour, so I quickly took a shower first."
나가다,"to go out, to leave",Pure Korean,Verb,한 시간 안에 준비하고 나가야 되어서 빨리 샤워부터 했다.,"I had to get ready and leave within an hour, so I quickly took a shower first."
로션,lotion,Pure Korean,Noun,샤워를 하고 로션을 바르고 화장을 했다.,"After showering, I applied lotion and did my makeup."
바르다,"to apply, to spread",Pure Korean,Verb,샤워를 하고 로션을 바르고 화장을 했다.,"After showering, I applied lotion and did my makeup."
특별히,"especially, specially","特 (특: special, unique) + 別 (별: differentiate, separate)",Adverb,오늘은 특별히 내가 아끼는 립스틱을 발랐다.,"Today, I especially wore my favorite lipstick."
아끼다,"to cherish, to value",Pure Korean,Verb,오늘은 특별히 내가 아끼는 립스틱을 발랐다.,"Today, I especially wore my favorite lipstick."
립스틱,lipstick,Pure Korean,Noun,오늘은 특별히 내가 아끼는 립스틱을 발랐다.,"Today, I especially wore my favorite lipstick."
고르다,"to choose, to select",Pure Korean,Verb,옷은 어제 골라둔 원피스를 입었다.,I wore the dress I had chosen yesterday.
추위,"cold, coldness",Pure Korean,Noun,거기에 추위에 대비해 목도리와 장갑을 챙겼다.,"In preparation for the cold, I also packed a scarf and gloves."
대비,"preparation, contingency","對 (대: face, confront, oppose) + 備 (비: prepare, equip)",Noun,거기에 추위에 대비해 목도리와 장갑을 챙겼다.,"In preparation for the cold, I also packed a scarf and gloves."
목도리,scarf,Pure Korean,Noun,거기에 추위에 대비해 목도리와 장갑을 챙겼다.,"In preparation for the cold, I also packed a scarf and gloves."
장갑,gloves,"掌 (장: palm of hand) + 甲 (갑: armor, shell)",Noun,거기에 추위에 대비해 목도리와 장갑을 챙겼다.,"In preparation for the cold, I also packed a scarf and gloves."
챙기다,"to pack, to prepare",Pure Korean,Verb,거기에 추위에 대비해 목도리와 장갑을 챙겼다.,"In preparation for the cold, I also packed a scarf and gloves."
떨리다,"to tremble, to shake",Pure Korean,Verb,‘아… 떨린다.,‘Ah… I’m trembling.
다행히,"fortunately, luckily","多 (다: many, much) + 幸 (행: luck, fortune)",Adverb,다행히 늦지 않게 도착했다.,"Fortunately, I arrived without being late."
도착,arrival,"到 (도: arrive, reach) + 着 (착: wear, attach, arrive)",Noun,다행히 늦지 않게 도착했다.,"Fortunately, I arrived without being late."
음,Um (interjection),Pure Korean,Noun,"민호: “안녕? 오늘 날씨가 많이 춥다, 뭐 마실래?”
나: “음.. 나는 커피 마실게, 커피는 내가 살게. 너는 뭐 마실래?”
민호: “하하, 커피도 내가 사고 밥도 내가 사려고 했는데. 우리 오늘 첫 데이트라 내가 살게.”
나: “첫… 데이트…?” 나는 민호가 하는 말을 믿을 수가 없었다.","Minho: “Hello? It’s very cold today, what would you like to drink?” Me: “Um… I’ll have coffee, I’ll buy the coffee. What would you like to drink?” Minho: “Haha, I was going to buy the coffee and the meal. Since today is our first date, I’ll pay.” Me: “First… date…?” I couldn't believe what Minho was saying."
반응,"reaction, response","反 (반: return, reverse) + 應 (응: respond, answer)",Noun,민호는 내 반응이 재미있다는 듯이 웃으면서 말했다.,Minho laughed and spoke as if my reaction was amusing.
듯이,"as if, like",Pure Korean,Noun,민호는 내 반응이 재미있다는 듯이 웃으면서 말했다.,Minho laughed and spoke as if my reaction was amusing.
쳐다보다,"to stare at, to gaze at",Pure Korean,Verb,민호가 말을 하면서 부끄러운 듯이 내 눈을 쳐다봤다.,"As Minho spoke, he looked at my eyes as if he was shy."
당황,"embarrassment, bewilderment","唐 (당: preposterous, vague) + 慌 (황: flustered, panic)",Noun,"나: “아.. 있잖아…… 너무 당황스러워서. 물론 나는 네가 마음에 들기 때문에 꼭 말을 하고 싶었어. 하지만 너는 인기도 많고, 친구들도 많기 때문에 나한테 관심이 있을지 정말 몰랐어……”
민호: “그래서 나는 네가 좋아. 너는 네가 얼마나 매력적인지 몰라. 다른 여자애들과 달라. 나도 내가 여자한테 처음으로 고백하는 거야. 많이 떨린다. 하하.”","Me: “Ah… you know… I’m just so bewildered. Of course, I really wanted to tell you because I like you. But I didn't know if you'd be interested in me because you're so popular and have so many friends…” Minho: “That’s why I like you. You don’t know how charming you are. You’re different from other girls. This is also the first time I’ve confessed to a girl. I’m very nervous. Haha.”"
들다,"to like, to appeal (as in '마음에 들다')",Pure Korean,Verb,"나: “아.. 있잖아…… 너무 당황스러워서. 물론 나는 네가 마음에 들기 때문에 꼭 말을 하고 싶었어. 하지만 너는 인기도 많고, 친구들도 많기 때문에 나한테 관심이 있을지 정말 몰랐어……”
민호: “그래서 나는 네가 좋아. 너는 네가 얼마나 매력적인지 몰라. 다른 여자애들과 달라. 나도 내가 여자한테 처음으로 고백하는 거야. 많이 떨린다. 하하.”","“Ah.. you know what…… I was so flustered. Of course, because I liked you, I really wanted to talk to you. But I really didn't know if you'd be interested in me because you're so popular and have so many friends……”"
매력,"charm, attraction","魅 (매: charm, bewitch) + 力 (력: power, strength)",Noun,"나: “아.. 있잖아…… 너무 당황스러워서. 물론 나는 네가 마음에 들기 때문에 꼭 말을 하고 싶었어. 하지만 너는 인기도 많고, 친구들도 많기 때문에 나한테 관심이 있을지 정말 몰랐어……”
민호: “그래서 나는 네가 좋아. 너는 네가 얼마나 매력적인지 몰라. 다른 여자애들과 달라. 나도 내가 여자한테 처음으로 고백하는 거야. 많이 떨린다. 하하.”","“So, I like you. You don't know how charming you are. You're different from other girls. This is also my first time confessing to a girl. I'm very nervous. Haha.”"
애,child (often implies 'kid' or 'girl/boy' when combined with other words),Pure Korean,Noun,"나: “아.. 있잖아…… 너무 당황스러워서. 물론 나는 네가 마음에 들기 때문에 꼭 말을 하고 싶었어. 하지만 너는 인기도 많고, 친구들도 많기 때문에 나한테 관심이 있을지 정말 몰랐어……”
민호: “그래서 나는 네가 좋아. 너는 네가 얼마나 매력적인지 몰라. 다른 여자애들과 달라. 나도 내가 여자한테 처음으로 고백하는 거야. 많이 떨린다. 하하.”","“So, I like you. You don't know how charming you are. You're different from other girls. This is also my first time confessing to a girl. I'm very nervous. Haha.”"
