Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
당연히,Adverb,실제로 당연히 하게 될 일은.,"naturally, of course, obviously",The thing that will obviously happen is...,Sino-Korean 當然(natural/obvious)+히
처음,Noun,그렇게 세 명이 여행을 간 것도 처음이었고.,the first time,It was also the first time the three of us traveled like that.,Native Korean
걱정되다,Verb,어떨지 굉장히 걱정도 됐어요.,"to be worried, feel anxious",I was also really worried about how it would be.,"Native Korean, 걱정(worry)+되다(become)"
따로따로,Adverb,첫날은 따로따로 걸어서 이렇게 가시는 거예요.,"separately, individually",On the first day they walked separately like this.,"Native Korean, reduplication of 따로(separately)"
구경하다,Verb,엄마는 이쪽 구경하시고 아빠는 이쪽 구경하시고.,"to look around, sightsee",Mom looked around this way and dad looked around that way.,Sino-Korean 求景(seeking a view)+하다
나란히,Adverb,그렇게 나란히 걷지 못하셨을 거예요.,"side by side, in a row",They wouldn't have been able to walk side by side like that.,Native Korean
문제,Noun,문제는 저희 아빠가 가 보고 싶어 하시는 곳은 뉴질랜드예요.,"problem, issue",The problem is that the place my dad wants to go is New Zealand.,Sino-Korean 問題(problem)
고민하다,Verb,별로 반응이 없어서 지금 고민하고 있어요.,"to agonize over, be troubled about",There hasn't been much reaction so I'm agonizing over it now.,Sino-Korean 苦悶(agonize)+하다
효자,Noun,"효자네요, 효자.",filial son (a son devoted to his parents),"What a filial son, a filial son.",Sino-Korean 孝子(filial son)
우연히,Adverb,2년에 한 번씩 우연히 가게 됐거든요.,"by chance, coincidentally","We ended up going once every two years, by chance.",Sino-Korean 偶然(coincidence)+히
부담스럽다,Adjective,2년은 좀 부담스럽네요.,"to be burdensome, feel like a lot of pressure (ㅂ-irregular)",Two years feels like a bit much pressure.,Sino-Korean 負擔(burden)+스럽다
농담,Noun,그냥 농담으로 한 이야기고요.,joke,It was just something said as a joke.,Sino-Korean 弄談(joke)
