Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
-(으)ㄹ 수도 있다,"might, there's also a possibility that ~",stem + (으)ㄹ 수도 있다,Grammar pattern,학생이 나오기는 좀 어려울 수도 있겠네요.,It might be pretty hard for such a student to emerge.
-겠네요,I'd guess/I bet that ~ (conjecture + realization),stem + 겠 + 네요,Grammar pattern,어려울 수도 있겠네요.,I'd guess it might be hard.
뭐가 뭔지 모르다 / -는지,to not know what/whether ~ (embedded question),question word + 는지/(으)ㄴ지 + 모르다,Grammar pattern,뭐가 뭔지도 모르겠고.,I didn't even know what was what.
N 같은 경우는,"in the case of N, as for N",Native Korean,Grammar pattern,남학생들 같은 경우는 군대를 갔다 와서.,"As for the male students, they'd go to the military."
-던,retrospective modifier: [something] recalled from past experience,stem + 던,Grammar pattern,공무원 시험을 준비하는 친구들이 많았던 케이스였어요.,It was a case where a lot of them prepared for civil service exams.
-에 비해서,compared to ~,Noun + 에 비해서 (Sino 比),Grammar pattern,그 금액에 비해서 수업이 네 개밖에 안 된다는 거는 낭비긴 하죠.,"Compared to the money spent, having only four classes stick with you is a waste."
-아/어야겠다,I've decided I must/will ~ (obligation + intention),stem + 아/어야겠다,Grammar pattern,나는 비행기 조종사가 되어야겠다.,I've decided I have to become a pilot.
-고도,even having done ~ / even without ~ing,stem + 고도,Grammar pattern,대학을 안 가고도 공부를 할 수는 있잖아요.,"You can study without even going to college, right?"
-잖아요,"tag ending: you know, right? (pointing out the obvious)",stem + 잖아요,Grammar pattern,공부만을 보진 않잖아요.,"It's not just about studying, you know."
-(이)라는 게/거,the thing called/referred to as N,Noun + 이라는 게/거,Grammar pattern,대학 교육이라는 게 한국 사회에서는 공부만을 보진 않잖아요.,"This thing called ""college education"" isn't just about studying in Korean society."
-기는 하다/-긴 하다,"concessive: it's true that X, but...",stem + 기는 하다,Grammar pattern,저희 때는 시도를 할 수 있는 시기긴 했는데.,"For us, it was indeed a time when we could try a lot of things, but..."
-(으)로부터,from ~ (marking a starting point in time/place),Noun + (으)로부터,Grammar pattern,지금으로부터 14년 후면.,14 years from now.
-아/어 두다,to do X and leave the result for later,stem + 아/어 두다,Grammar pattern,학비 내려고 모아 둔 돈으로.,With the money saved up to pay tuition.
-(으)려고,"in order to, intending to",stem + (으)려고,Grammar pattern,학비 내려고 모아 둔 돈.,Money saved up in order to pay tuition.
-을/를 위해서,"for the sake of, in order to",Noun + 을/를 위해서,Grammar pattern,취업만을 위해서 준비하는 대학생들.,College students preparing only for getting a job.
-는 편이다,"to tend to be, lean toward being",stem + 는 편이다,Grammar pattern,대학 교육이 필요 없다고 생각하는 편인가요?,Would you say you tend to think college education isn't necessary?
-(으)라고 하다,to tell someone to do ~ (indirect command),stem + (으)라고 하다,Grammar pattern,그냥 그러라고 할 것 같아요.,I think I'd just tell them to go ahead.
-아/어 달라고 하다,to ask [someone] to do ~ for me (indirect request),stem + 아/어 달라고 하다,Grammar pattern,10년 동안 학비를 대 달라 그러면.,"If they said ""pay my tuition for 10 years."""
-다 보니까,"as I kept doing X, it turned out that... / I came to realize",stem + 다 보니까,Grammar pattern,다른 친구들도 많이 보고 하다 보니깐 오히려 반대가 됐어요.,"As I saw more friends around me, it actually flipped the other way."
