Korean,Part of Speech,Frequency,Example Sentence,English,Sentence Translation
파다,Verb,1,인사동은 전통적인 물건을 파는 가게가 많은 곳이에요.,,
한지,Noun,1,"한지, 도자기 등 한국적인 물건들을 구경할 수 있어요.",,
도자기,Noun,1,"한지, 도자기 등 한국적인 물건들을 구경할 수 있어요.",,
고프다,Adjective,1,"배가 고프니, 맛있는 것을 먹으러 가요.",,
맛집,Noun,1,인사동에는 맛집이 많아요.,,
채소,Noun,1,비빔밥은 밥에 여러 가지 채소와 고기를 넣고 고추장으로 비벼 먹는 음식이에요.,,
고추장,Noun,1,비빔밥은 밥에 여러 가지 채소와 고기를 넣고 고추장으로 비벼 먹는 음식이에요.,,
비비다,Verb,1,,,
찻집,Noun,1,"밥을 다 먹고, 우리는 찻집에 갔어요.",,
감기,Noun,1,유자차는 감기에 좋아요.,,
남산타워,Noun,1,남산타워가 점점 더 크게 보여요.,,
점점,Adverb,1,남산타워가 점점 더 크게 보여요.,,
빌딩,Noun,1,"빌딩, 아파트, 강.",,
화장품,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",,
액세서리,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",,
다양,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",,
거리,Noun,1,우리는 명동 거리를 걸으면서 구경했어요.,,
길거리,Noun,1,맛있는 길거리 음식도 많이 팔아요.,,
호떡,Noun,1,"떡볶이, 호떡, 닭꼬치.",,
닭꼬치,Noun,1,"떡볶이, 호떡, 닭꼬치.",,
꼬치,Noun,1,"떡볶이, 호떡, 닭꼬치.",,
불판,Noun,1,불판에 고기를 구워서 먹는 거예요.,,
상추,Noun,1,상추에 고기를 싸서 먹으면 더 맛있어요.,,
동대문,Noun,1,다음 장소는 동대문 디자인 플라자 예요.,,
플라자,Noun,1,다음 장소는 동대문 디자인 플라자 예요.,,
독특,Noun,1,모양이 아주 독특해요.,,
우주선,Noun,1,우주선 같아요!,,
불빛,Noun,1,불빛이 많이 켜져요.,,
가방,Noun,1,"의자, 옷, 가방.",,
스케이트,Noun,1,"사람들은 거기에서 스케이트보드를 타거나,",,
보드,Noun,1,"사람들은 거기에서 스케이트보드를 타거나,",,
가로지르다,Verb,1,한강은 서울을 가로지르는 큰 강이에요.,,
강변,Noun,1,우리는 강변을 걸으면서 이야기를 했어요.,,
피곤,Noun,1,민수는 오늘 하루 종일 서울을 구경해서 아주 피곤했어요.,,
각자,Adverb,1,우리는 각자 방으로 돌아가서 잠을 잤어요.,,
친절,Noun,1,그리고 사람들도 친절해요.,,
추천,Noun,1,저는 서울을 다른 사람들에게도 추천하고 싶어요.,,
아마,Adverb,1,아마 민수는 쇼핑을 하고 싶어 할 거예요.,,
왜냐하면,Adverb,1,왜냐하면 우리는 친구니까요.,,
수도,Noun,1,제 친구 민수도 저에게 사진을 찍어 달라고 했어요.,,
항상,Adverb,1,서울은 항상 새로운 것을 추구하는 도시예요.,,
추구,Noun,1,서울은 항상 새로운 것을 추구하는 도시예요.,,
자랑,Noun,1,저는 서울이 자랑스러워요.,,
고향,Noun,1,서울은 제 고향이에요.,,
알리다,Verb,1,그리고 서울을 더 많은 사람들에게 알리고 싶어요.,,
마음속,Noun,1,서울에서 좋은 추억을 만드세요! 서울은 여러분의 마음속에 영원히 남을 거예요.,,
영원히,Adverb,1,서울에서 좋은 추억을 만드세요! 서울은 여러분의 마음속에 영원히 남을 거예요.,,
심장,Noun,1,서울은 사랑스러운 도시예요! 서울은 한국의 심장이에요.,,
