Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
나무,Noun,산이 있고 나무가 많이 모여있는 곳을 숲이라고 하죠.,tree,A place with mountains and lots of trees gathered together is called a forest.,
도마뱀,Noun,제일 신기했던 건 도마뱀!,lizard,The most fascinating thing was the lizard!,
꼬리,Noun,근데 그 도마뱀이 꼬리가... 꼬리가 없었어요.,tail,But that lizard's tail... it didn't have a tail.,
잘리다,Verb,꼬리가 잘렸어요.,to be cut off,Its tail had been cut off.,
하필,Adverb,하필 꼬리가 잘린 도마뱀.,of all things,"Of all things, a lizard with a cut-off tail.",
대박,Noun,그래서 그 밑으로 내려갔는데... 와... 대박!,"amazing, no way (slang)",So I went down below it... wow... amazing!,
물가,Noun,너무 예쁜 물가가 있는 거예요.,"waterside, creek",There was such a pretty waterside there.,
찰랑찰랑,Adverb,"바다는 아닌데, 물이 찰랑찰랑 이렇게 움직이는 물가.","light sloshing, swaying (mimetic word)","Not the sea, but a waterside where the water gently ripples like this.",Mimetic word
움직이다,Verb,"바다는 아닌데, 물이 찰랑찰랑 이렇게 움직이는 물가.",to move,"Not the sea, but a waterside where the water gently ripples/moves like this.",
흔들리다,Verb,바람이 세게 불어서 나무가 흔들리고 있었어요.,"to shake, to wobble","The wind was blowing hard, so the trees were shaking.",
세다,Adjective,바다에서 막 세게 치는 그런 파도 말고 가벼운 느낌!,to be strong,"Not the kind of waves that crash hard in the ocean, but a light feeling!",
꿈꾸다,Verb,저는 언젠가 제주도에서 살기를 꿈꿔요.,to dream,I dream of living in Jeju someday.,
장소,Noun,왜냐면 제가 이 트래킹 장소를 구글에서 미리 찾아본 것도 아니라...,place,Because it's not like I searched this trekking spot on Google beforehand...,場所
구글,Noun,왜냐면 제가 이 트래킹 장소를 구글에서 미리 찾아본 것도 아니라...,Google,Because it's not like I searched this trekking spot on Google beforehand...,(Proper noun)
미리,Adverb,왜냐면 제가 이 트래킹 장소를 구글에서 미리 찾아본 것도 아니라...,in advance,Because it's not like I searched this trekking spot on Google beforehand...,
우연히,Adverb,처음 보는 숲에 우연히 들어갔는데 갑자기 걷다가 이런 장면이 나와요.,by chance,"I happened to wander into a forest I'd never seen before, and suddenly, while walking, this scene appeared.",偶然-
상상하다,Verb,그 풍경이 얼마나 예쁠지 상상이 안 돼요.,to imagine,I can't even imagine how pretty that scenery must be.,想像-
동화,Noun,정말 동화 속의 한 장면 아닌가요?,fairy tale,Isn't it really like a scene out of a fairy tale?,童話
켜다,Verb,그래서 제가 그 자리에서 구글맵을 켜봤어요.,to turn on,"So right there, I turned on Google Maps.",
끄다,Verb,(opposite of 켜다),to turn off,,
단어,Noun,영어로 그 단어가 뭔지 몰랐어요.,word,I didn't know what that word was in English.,單語
개울,Noun,숲 속에 작은 개울이 흐르고 있었어요.,"creek, stream",A small creek was flowing through the forest.,
익숙하다,Adjective,"한국어로 호수, 강, 바다 이런 건 익숙한데, 이 creek, 만이라는 건 솔직히 처음 봤어요.",to be familiar,"Words like lake, river, sea are familiar in Korean, but honestly I saw this 'creek/bay' for the first time.",
어색하다,Adjective,오랜만에 만나서 처음에는 좀 어색했어요.,to be awkward,"Since we met after a long time, it was a bit awkward at first.",
호수,Noun,"한국어로 호수, 강, 바다 이런 건 익숙한데, 이 creek, 만이라는 건 솔직히 처음 봤어요.",lake,"Words like lake, river, sea are familiar in Korean, but honestly I saw this 'creek/bay' for the first time.",湖水
일기장,Noun,제가 이 팟캐스트를 준비하면서 제 일기장을 또 찾았어요.,diary,"While preparing this podcast, I found my diary again.",日記帳
쓰다,Verb,저번에 제가 축구 팟캐스트 하면서 옛날에 쓴 일기장 보여줬잖아요.,to write,"Last time, during the soccer podcast, I showed the old diary I wrote, remember?",
수채화,Noun,누가 수채화 물감 뿌려놓은 것처럼 푸른 그라데이션이 넘 예쁜 곳!,watercolor painting,"A place with a blue gradient so pretty, like someone splashed watercolor paint!",水彩畵
물감,Noun,누가 수채화 물감 뿌려놓은 것처럼 푸른 그라데이션이 넘 예쁜 곳!,paint,"A place with a blue gradient so pretty, like someone splashed watercolor paint!",
뿌리다,Verb,누가 수채화 물감 뿌려놓은 것처럼 푸른 그라데이션이 넘 예쁜 곳!,"to splash, to scatter","A place with a blue gradient so pretty, like someone splashed watercolor paint!",
푸른,Adjective,누가 수채화 물감 뿌려놓은 것처럼 푸른 그라데이션이 넘 예쁜 곳!,blue,"A place with a blue gradient so pretty, like someone splashed watercolor paint!",
그라데이션,Noun,누가 수채화 물감 뿌려놓은 것처럼 푸른 그라데이션이 넘 예쁜 곳!,gradient,"A place with a blue gradient so pretty, like someone splashed watercolor paint!",(English loanword)
부끄럽다,Adjective,사람들 앞에서 노래하는 게 너무 부끄러워요.,"to be embarrassed, shy",I'm too shy to sing in front of people.,
글,Noun,오늘 일기장에 짧은 글을 하나 썼어요.,piece of writing,Today I wrote a short piece in my diary.,
마치,Adverb,여기는 마치 천국.,"as if, just like",This place is just like heaven.,
천국,Noun,여기는 마치 천국.,heaven,This place is just like heaven.,天國
오글거리다,Verb,좀 오글거리죠?,"to feel cringe, cheesy","It's a bit cringey, right?",(slang)
쪼그라들다,Verb,빨래를 뜨거운 물에 넣었더니 옷이 쪼그라들었어요.,"to shrivel, to shrink",I put the laundry in hot water and the clothes shrunk.,
몸동작,Noun,그 배우는 몸동작이 정말 자연스러워요.,"body movement, gesture",That actor's body movements are really natural.,
데려오다,Verb,똑같은 장소에 그 언니를 데려갔어요.,to bring (a person) (데려가다 = to take someone there),I took my friend to the same place.,
추천하다,Verb,이 트레킹 코스를 정말 추천하고 싶어요.,to recommend,I really want to recommend this trekking course.,推薦-
시원하다,Adjective,공기도 너무 좋고 바다도 시원하고 최고지!,"to be refreshing, cool","The air was so nice, the sea was refreshing, it was the best!",
공기,Noun,공기도 너무 좋고 바다도 시원하고 최고지!,air,"The air was so nice, the sea was refreshing, it was the best!",空氣
최고,Noun,공기도 너무 좋고 바다도 시원하고 최고지!,the best,"The air was so nice, the sea was refreshing, it was the best!",最高
섬,Noun,제주도는 한국의 큰 섬이에요.,island,Jeju-do is a big island of Korea.,
올레길,Noun,이름이 올레길이에요.,Jeju walking trail,The name is 올레길.,Jeju dialect
이미지,Noun,"원래는 등산이라고 하면, 약간 나이 든 사람이 좋아하는 이미지가 있었어요.",image,"Originally, hiking had an image of being something older people liked.",(English loanword)
젊은 사람,Noun,이 기사에서는 한국에서 젊은 사람들이 요즘 왜 등산을 좋아하는지 말해주고 있어요.,young person,This article talks about why young people in Korea like hiking these days.,
따라가다,Verb,"제 한국 친구 중에 트렌드, 유행을 되게 빨리 따라가는 친구가 있어요.",to follow (along),"Among my Korean friends, I have one who follows trends really fast.",
유행,Noun,"제 한국 친구 중에 트렌드, 유행을 되게 빨리 따라가는 친구가 있어요.","trend, fashion","Among my Korean friends, I have one who follows trends really fast.",流行
인증샷,Noun,근데 그 친구가 어느 날 SNS에 등산 인증샷을 올린 거예요.,"proof shot, a photo posted as proof","But one day, that friend posted a hiking 'proof shot' on SNS.",認證 + shot
독서,Noun,이걸 독서 모임이라고 해요.,reading,This is called a reading club.,讀書
인증하다,Verb,여기서 신분증으로 본인을 인증해야 돼요.,"to verify, to certify",You have to verify your identity here with your ID.,認證-
자극,Noun,그걸 찍어서 서로 보여주면 뭔가 더 자극이 되잖아요.,"stimulus, motivation trigger","Taking that photo and showing each other becomes more of a motivator, right?",刺戟
동기부여,Noun,이런 인증샷이 동기부여에 좋은 것 같아요.,motivation,These proof-shots seem good for motivation.,動機附與
맨,Prefix,"산의 맨 윗부분, 정상!",the very (utmost),"The very top part of the mountain, the summit!",
윗부분,Noun,"산의 맨 윗부분, 정상!",upper part,"The very top part of the mountain, the summit!",
정상 (평범),Noun,지금 상황이 정상이 아닌 것 같아요.,"normal, normality",The current situation doesn't seem normal.,正常
상쾌하다,Adjective,아침 공기가 정말 상쾌해요.,to be refreshing,The morning air is really refreshing.,爽快-
뿌듯하다,Adjective,내가 힘든 걸 다 참고 올라갔을 때의 그 뿌듯한 감정.,"to feel proud, fulfilled",That feeling of fulfillment when I endured everything hard and made it to the top.,
감정,Noun,내가 힘든 걸 다 참고 올라갔을 때의 그 뿌듯한 감정.,emotion,That feeling of fulfillment when I endured everything hard and made it to the top.,感情
참다,Verb,내가 힘든 걸 다 참고 올라갔을 때의 그 뿌듯한 감정.,to endure,That feeling of fulfillment when I endured everything hard and made it to the top.,
성취감,Noun,이걸 좀 멋있는 한국어로 성취감이라고 해요.,sense of accomplishment,This is called 성취감 in fancier Korean.,成就感
해내다,Verb,결국 그 어려운 등산 코스를 다 해냈어요.,to accomplish,"In the end, I managed to complete that difficult hiking course.",
지치다,Verb,"여러분들이 지치고 힘들 때, 포기하고 싶을 때, 옛날에 찍은 인증샷을 보세요.",to be exhausted,"When you're tired and exhausted, when you want to give up, look at the proof-shots you took before.",
포기하다,Verb,"여러분들이 지치고 힘들 때, 포기하고 싶을 때, 옛날에 찍은 인증샷을 보세요.",to give up,"When you're tired and exhausted, when you want to give up, look at the proof-shots you took before.",抛棄-
계정,Noun,저 혼자만 하는 SNS 계정이 있어요.,account,I have an SNS account that only I use.,計定
어이없다,Adjective,진짜 웃기고 좀 어이없는 거 말해줄까요?,"to be ridiculous, absurd",Should I tell you something really funny and kind of absurd?,
쓸데없다,Adjective,비타민 사진은 좀 심했다! 너무 쓸데없다!,"to be useless, pointless",The vitamin photo was a bit much! Too pointless!,
기사,Noun,그래도 외국어를 공부할 때 뉴스 기사를 보고 읽는 건 정말 좋은 공부니까 한번 같이 봐요.,news article,"Reading news articles is really good practice when studying a foreign language, so let's look at one together.",記事
제목,Noun,제목이에요.,title,It's the title.,題目
북적북적,Adverb,주말 아침부터 북적북적 MZ들 줄 서서 산에 오르는... 이유가?,"bustling, crowded (mimetic word)",Bustling since the weekend morning... the reason MZ-generation people line up to climb the mountain?,Mimetic word
줄 서다,Verb,주말 아침부터 북적북적 MZ들 줄 서서 산에 오르는... 이유가?,"to stand in line, to queue up",...MZ-generation people lining up to climb the mountain...,
젊은 세대,Noun,젊은 세대 사이에서는 SNS 인증 문화가 확산되면서.,young generation,As the SNS-verification culture spreads among the younger generation.,
확산되다,Verb,여기서 확산되다는 건 유행이 더 더 유명해진다는 뜻이에요.,to spread,"Here, '확산되다' means a trend becomes more and more famous/widespread.",擴散-
관련,Noun,이 얘기는 약간 북한이랑 관련이 있어요.,"connection, relation",This story is a bit related to North Korea.,關聯
밀당,Noun,밀당이라는 슬랭이 있어요.,push-pull (playing hard to get),There's a slang term called 밀당.,Abbreviation
밀고 당기다,Verb,밀고 당기다의 줄임말이에요.,to push and pull,It's an abbreviation of 'push and pull'.,
줄임말,Noun,밀고 당기다의 줄임말이에요.,abbreviation,It's an abbreviation of 'push and pull'.,
연인,Noun,이 말은 사실 연인 관계에서 제일 많이 써요.,"lover, romantic partner",This word is actually used most in romantic relationships.,戀人
관계,Noun,이 말은 사실 연인 관계에서 제일 많이 써요.,relationship,This word is actually used most in romantic relationships.,關係
쓰다 (사용),Verb,이 말은 사실 연인 관계에서 제일 많이 써요.,to use,This word is actually used most in romantic relationships.,
티,Noun,"뭔가 이 사람을 좋아하는데, 너무 티내는 건 좀 아닌 것 같은데... 하면서 안 좋아하는 척 밀어내요.","trace, sign","You kind of like this person, but showing it too obviously seems wrong, so you push them away pretending not to like them.",
티내다,Verb,"뭔가 이 사람을 좋아하는데, 너무 티내는 건 좀 아닌 것 같은데... 하면서 안 좋아하는 척 밀어내요.","to make it obvious, to show it","You kind of like this person, but showing it too obviously seems wrong, so you push them away pretending not to like them.",
척,Noun,안 좋아하는 척 밀어내요.,pretense (~인 척 = pretending to),"...pretending not to like them, they push them away.",
밀다,Verb,문이 안 열리면 살짝 밀어 보세요.,to push,"If the door doesn't open, try pushing it a little.",
밀어내다,Verb,안 좋아하는 척 밀어내요.,to push away,"...pretending not to like them, they push them away.",
괜히,Adverb,"사실은 시간 너무 많은데, 괜히!","for no reason, needlessly","Actually I have so much free time, but for no reason!",
연애,Noun,나중에 이런 한국의 연애 이야기도 많이 해줄게요.,"dating, romance",I'll tell you a lot more about Korean dating stories later.,戀愛
깜빡하다,Verb,제가 까먹지 않고 제가 메모를 할게요.,to forget (momentarily),"So I won't forget, I'll take a note.",
메모,Noun,제가 까먹지 않고 제가 메모를 할게요.,"memo, note","So I won't forget, I'll take a note.",(English loanword)
