Korean,Romanization,English,Part of Speech
"먹다","meokda","to eat","Verb"
"자신","jasin","oneself / confidence","Noun"
"문화","munhwa","culture","Noun"
"원","won","Won (currency)","Noun"
"생각","saenggak","thought / idea","Noun"
"어떻다","eotteota","how / to be how","Adjective"
"명","myeong","person counter","Noun"
"통하다","tonghada","to run / lead to / flow","Verb"
"그러다","geureoda","to do so","Verb"
"소리","sori","sound","Noun"
"다시","dasi","again","Adverb"
"다른","dareun","different","Determiner"
"이런","ireon","such / like this","Determiner"
"여자","yeoja","woman","Noun"
"개","gae","unit / piece / dog","Noun"
"정도","jeongdo","degree","Noun"
"다","da","all / everything","Adverb"
"좀","jom","a little","Adverb"
"싶다","sipda","to want","Adjective"
"보이다","boida","to be seen / to look","Verb"
"가지다","gajida","to have / to possess","Verb"
"함께","hamkke","together","Adverb"
"아이","ai","child","Noun"
"지나다","jinada","to pass (time/place)","Verb"
"많이","mani","a lot","Adverb"
"시간","sigan","time","Noun"
"너","neo","you (informal)","Pronoun"
"인간","ingan","human","Noun"
"사실","sasil","fact / truth","Noun"
"나다","nada","to be born / to occur","Verb"
"이렇다","ireota","to be like this","Adjective"
"어머니","eomeoni","mother","Noun"
"눈","nun","eye / snow","Noun"
"뭐","mwo","what","Pronoun"
"점","jeom","store / point","Noun"
"의하다","uihada","to depend on / due to","Verb"
"시대","sidae","period / era","Noun"
"다음","daeum","next","Noun"
"이러하다","ireohada","to be like this","Adjective"
"누구","nugu","who","Pronoun"
"곳","got","place","Noun"
"여러","yeoreo","several / various","Determiner"
"안","an","inside","Noun"
"하나","hana","one","Noun"
"세계","segye","world","Noun"
"버리다","beorida","to throw away","Verb"
"위","wi","top / above","Noun"
"운동","undong","exercise / movement","Noun"
"퍼센트","peosenteu","percent","Noun"
"학교","hakgyo","school","Noun"
"자기","jagi","oneself / honey","Noun"
"가장","gajang","most / best","Adverb"
"대통령","daetongnyeong","president","Noun"
"가지","gaji","kind / sort","Noun"
"시작하다","sijakhada","to start","Verb"
"바로","baro","right away / correctly","Adverb"
"어느","eoneu","which / some","Determiner"
"그래서","geuraeseo","so / therefore","Conjunction"
"무엇","mueot","what","Pronoun"
"정부","jeongbu","government","Noun"
"모든","modeun","every / all","Determiner"
"번","beon","number / times","Noun"
"그거","geugeo","that thing","Pronoun"
"돈","don","money","Noun"
"국가","gukga","nation / country","Noun"
"그런데","geureonde","but / by the way","Conjunction"
"날","nal","day","Noun"
"여기","yeogi","here","Pronoun"
"모두","modu","everyone / all","Adverb"
"여성","yeoseong","female","Noun"
"친구","chingu","friend","Noun"
"마음","maeum","heart / mind","Noun"
"후","hu","after","Noun"
"놓다","nota","to put / to place","Verb"
"관계","gwangye","relationship","Noun"
"아버지","abeoji","father","Noun"
"남자","namja","man","Noun"
"어디","eodi","where","Pronoun"
"몸","mom","body","Noun"
"얼굴","eolgul","face","Noun"
"왜","wae","why","Adverb"
"나타나다","natanada","to appear","Verb"
"지역","jiyeok","region / area","Noun"
"다르다","dareuda","to be different","Adjective"
"모습","moseup","shape / figure / appearance","Noun"
"물","mul","water","Noun"
"만나다","mannada","to meet","Verb"
"내다","naeda","to pay / to put forth","Verb"
"보이다","boida","to show","Verb"
"쓰다","sseuda","to write / to use / to be bitter","Verb"
"이것","igeot","this thing","Pronoun"
"없이","eopsi","without","Adverb"
"이번","ibeon","this time","Noun"
"길","gil","road / street","Noun"
"생활","saenghwal","lifestyle / daily life","Noun"
"쓰다","sseuda","to wear (hat/glasses)","Verb"
"뿐","ppun","only / just","Noun"
"사이","sai","between / relationship","Noun"
"방법","bangbeop","method / way","Noun"
"새롭다","saeropda","to be new","Adjective"
"내다","naeda","to make something happen","Verb"
"앉다","anda","to sit","Verb"
"처음","cheoeum","first time","Noun"
"손","son","hand","Noun"
"몇","myeot","some / how many","Determiner"
"그때","geuttae","at that time","Noun"
"과정","gwajeong","process","Noun"
"삶","sam","life","Noun"
"갖다","gatda","to have / to hold","Verb"
"찾다","chatda","to find / to look for","Verb"
"특히","teukhi","especially","Adverb"
"시","si","hour / o'clock","Noun"
"이상","isang","more than / strange","Noun"
"지금","jigeum","now","Noun"
"나가다","nagada","to go out","Verb"
"이야기","iyagi","story / conversation","Noun"
"교육","gyoyuk","education","Noun"
"사다","sada","to buy","Verb"
"경제","gyeongje","economy","Noun"
"아직","ajik","still / yet","Adverb"
"잡다","japda","to catch / to hold","Verb"
"같이","gachi","together","Adverb"
"선생님","seonsaengnim","teacher","Noun"
"예술","yesul","art","Noun"
"서다","seoda","to stand","Verb"
"못","mot","cannot","Adverb"
"역사","yeoksa","history","Noun"
"읽다","ikda","to read","Verb"
"결과","gyeolgwa","result","Noun"
"내용","naeyong","content","Noun"
"물론","mullon","of course","Adverb"
"책","chaek","book","Noun"
"일어나다","ireonada","to get up / to happen","Verb"
"당신","dangsin","you (formal)","Pronoun"
"시장","sijang","market / mayor","Noun"
"넣다","neota","to put in","Verb"
"중요하다","jungyohada","to be important","Adjective"
"무슨","museun","what / what kind of","Determiner"
"느기다","neukkida","to feel","Verb"
"어렵다","eoryeopda","to be difficult","Adjective"
"힘","him","strength / power","Noun"
"너무","neomu","too / very","Adverb"
"나라","nara","country","Noun"
"부르다","bureuda","to call / to sing","Verb"
"의미","uimi","meaning","Noun"
"자리","jari","seat / spot","Noun"
"밝히다","balkhida","to reveal / to light up","Verb"
"죽다","jukda","to die","Verb"
"이미","imi","already","Adverb"
"쪽","jjok","way / side / direction","Noun"
"정치","jeongchi","politics","Noun"
"국민","gungmin","people / citizens","Noun"
"생명","saengmyeong","life","Noun"
"얘기","yaegi","story (short for 이야기)","Noun"
"학생","haksaeng","student","Noun"
"연구","yeongu","research","Noun"
"엄마","eomma","mom","Noun"
"이름","ireum","name","Noun"
"하나","hana","one","Number"
"내리다","naerida","to go down / to descend","Verb"
"사건","sageon","incident / event","Noun"
"및","mit","and / as well as","Adverb"
"쉽다","swipda","to be easy","Adjective"
"짓다","jitda","to build / to make","Verb"
"이유","iyu","reason","Noun"
"필요하다","piryohada","to be needed","Adjective"
"글","geul","writing / text","Noun"
"생기다","saenggida","to arise / to look like","Verb"
"사용하다","sayonghada","to use","Verb"
"남편","nampyeon","husband","Noun"
"밖","bak","outside","Noun"
"세상","sesang","world","Noun"
"작다","jakda","to be small","Adjective"
"타다","tada","to ride / to burn","Verb"
"대학","daehak","university","Noun"
"작품","jakpum","work of art","Noun"
"상황","sanghwang","situation","Noun"
"가운데","gaunde","middle","Noun"
"보내다","bonaeda","to send / to spend time","Verb"
"즉","jeuk","namely / that is","Adverb"
"상태","sangtae","condition / state","Noun"
"이후","ihu","after","Noun"
"당시","dangsi","at that time","Noun"
"문학","munhak","literature","Noun"
"더욱","deouk","more / increasingly","Adverb"
"아주","aju","very","Adverb"
"지방","jibang","local area / district","Noun"
"밤","bam","night","Noun"
"높다","nopda","to be high","Adjective"
"최근","choegeun","recent","Noun"
"채","chae","as it is / counting unit for houses","Noun"
"현실","hyeonsil","reality","Noun"
"환경","hwangyeong","environment","Noun"
"컴퓨터","keompyuteo","computer","Noun"
"먼저","meonjeo","first / earlier","Adverb"
"다니다","danida","to go to / to attend","Verb"
"얼마나","eolmana","how many / how much","Adverb"
"자체","jache","itself","Noun"
"열다","yeolda","to open","Verb"
"머리","meori","head / hair","Noun"
"묻다","mutda","to ask","Verb"
"남다","namda","to remain","Verb"
"부분","bubun","part","Noun"
"기업","gieop","enterprise / business","Noun"
"변화","byeonhwa","change","Noun"
"아들","adeul","son","Noun"
"아","a","ah! (exclamation)","Interjection"
"선거","seongeo","election","Noun"
"관하다","gwanhada","to relate to","Verb"
"분","bun","minute / person (honorific)","Noun"
"개인","gaein","individual","Noun"
"나누다","nanuda","to divide / to share","Verb"
"이용하다","iyonghada","to use","Verb"
"거의","geoui","almost","Adverb"
"곧","got","soon","Adverb"
"중심","jungsim","center / focus","Noun"
"활동","hwaldong","activity","Noun"
"오늘","oneul","today","Noun"
"서로","seoro","each other","Adverb"
"관심","gwansim","interest / concern","Noun"
"역시","yeoksi","as expected / likewise","Adverb"
"이거","igeo","this (short for 이것)","Pronoun"
"애","ae","child / baby","Noun"
"광고","gwanggo","advertisement","Noun"
"나다","nada","to grow / to sprout","Verb"
"방","bang","room","Noun"
"정신","jeongsin","mind / spirit","Noun"
"이르다","ireuda","to reach / to arrive","Verb"
"이루다","iruda","to achieve","Verb"
"아침","achim","morning / breakfast","Noun"
"웃다","utda","to laugh / to smile","Verb"
"현상","hyeonsang","phenomenon","Noun"
"기술","gisul","technology / skill","Noun"
"전체","jeonche","whole / entire","Noun"
"그래","geurae","yes / okay","Interjection"
"얻다","eotda","to get / to obtain","Verb"
"아름답다","areumdapda","to be beautiful","Adjective"
"끝","kkeut","end","Noun"
"민족","minjok","people / nation / ethnic group","Noun"
"간","gan","interval / between","Noun"
"조사","josa","investigation / survey","Noun"
"듯","deut","as if","Noun"
"입","ip","mouth","Noun"
"뭐","mwo","huh? / what?","Interjection"
"그대로","geudaero","as it is","Adverb"
"영화","yeonghwa","movie","Noun"
"필요","piryo","need / necessity","Noun"
"줄","jul","way / method","Noun"
"하늘","haneul","sky","Noun"
"년","nyeon","year (counting)","Noun"
"과학","gwahak","science","Noun"
"자연","jayeon","nature","Noun"
"정말","jeongmal","really / truth","Noun"
"구조","gujo","structure","Noun"
"결국","gyeolguk","eventually / in the end","Adverb"
"밥","bap","rice / meal","Noun"
"입다","ipda","to wear","Verb"
"오히려","ohiryeo","rather / on the contrary","Adverb"
"프로그램","peurogeuraem","program","Noun"
"네","ne","yes","Interjection"
"남","nam","others / strangers","Noun"
"하루","haru","one day","Noun"
"그림","geurim","picture / drawing","Noun"
"적","jeok","time / occurrence","Noun"
"터","teo","site / ground","Noun"
"마시다","masida","to drink","Verb"
"치다","chida","to hit / to play (instrument)","Verb"
"혼자","honja","alone","Noun"
"나가다","nagada","to move forward","Verb"
"이제","ije","now","Adverb"
"교수","gyosu","professor","Noun"
"술","sul","alcohol","Noun"
"사랑","sarang","love","Noun"
"전화","jeonhwa","telephone","Noun"
"끝나다","kkeunnada","to finish / to end","Verb"
"맞다","matda","to be correct / to fit","Verb"
"아빠","appa","dad","Noun"
"걸리다","geollida","to hang / to take time","Verb"
"지키다","jikida","to protect / to keep","Verb"
"한번","hanbeon","once","Noun"
"커피","keopi","coffee","Noun"
"가슴","gaseum","chest / heart","Noun"
"길다","gilda","to be long","Adjective"
"바라다","barada","to wish / to hope","Verb"
"알아보다","araboda","to recognize / to investigate","Verb"
"맛","mat","taste","Noun"
"대부분","daebubun","most","Noun"
"산업","saneop","industry","Noun"
"매우","maeu","very","Adverb"
"오르다","oreuda","to go up / to climb","Verb"
"음식","eumsik","food","Noun"
"표정","pyojeong","facial expression","Noun"
"꼭","kkok","surely / exactly","Adverb"
"일부","ilbu","part / portion","Noun"
"요즘","yojeum","these days","Noun"
"계획","gyehoek","plan","Noun"
"느낌","neukkim","feeling","Noun"
"얼마","eolma","how much","Noun"
"고개","gogae","head / hill","Noun"
"성격","seonggyeok","personality","Noun"
"계속","gyesok","continuously","Adverb"
"세기","segi","century","Noun"
"세우다","seuda","to stand / to set up","Verb"
"아내","anae","wife","Noun"
"가족","gajok","family","Noun"
"현재","hyeonjae","present / now","Noun"
"세","se","three","Number"
"발전","baljeon","development","Noun"
"차","cha","car / tea","Noun"
"놀다","nolda","to play","Verb"
"향하다","hyanghada","to face / to head towards","Verb"
"관련","gwallyeon","relation / connection","Noun"
"형태","hyeongtae","form / shape","Noun"
"각","gak","each","Determiner"
"도시","dosi","city","Noun"
"작업","jageop","work / operation","Noun"
"분위기","bunwigi","atmosphere","Noun"
"그러니까","geureonikka","so / therefore","Conjunction"
"나이","nai","age","Noun"
"우선","useon","first of all","Adverb"
"믿다","mitda","to believe","Verb"
"바꾸다","bakkuda","to change","Verb"
"낳다","nata","to give birth","Verb"
"바","ba","thing / way","Noun"
"정보","jeongbo","information","Noun"
"열리다","yeollida","to be opened","Verb"
"좋아하다","joahada","to like","Verb"
"그리","geuri","so / that","Adverb"
"그리다","geurida","to draw","Verb"
"만큼","mankeum","as much as","Particle"
"배우다","baeuda","to learn","Verb"
"시","si","poetry","Noun"
"역할","yeokhal","role","Noun"
"옆","yeop","side","Noun"
"행동","haengdong","action / behavior","Noun"
"어","eo","oh / uh","Interjection"
"국내","gungnae","domestic","Noun"
"비하다","bihada","to compare","Verb"
"기관","gigwan","institution / organ","Noun"
"입장","ipjang","position / stance","Noun"
"만","man","only","Particle"
"곳","got","place (repeated for emphasis)","Noun"
"성과","seonggwa","result / outcome","Noun"
"생겨나다","saenggyeonada","to originate / to form","Verb"
"곳","got","place","Noun"
"능력","neungnyeok","ability","Noun"
"저기","jeogi","over there","Pronoun"
"모두","modu","all","Noun"
"들다","deulda","to enter / to hold","Verb"
"사실","sasil","actually / in fact","Adverb"
"유월","yuwol","June","Noun"
"방식","bangsik","way / method","Noun"
"영향","yeonghyang","influence","Noun"
"그럼","geureom","then / if so","Conjunction"
"나서다","naseoda","to step forward","Verb"
"흐르다","heureuda","to flow","Verb"
"저","jeo","uh... (hesitation)","Interjection"
"깊다","gipda","to be deep","Adjective"
"배","bae","stomach / boat / pear","Noun"
"내","nae","inside","Noun"
"모양","moyang","shape / appearance","Noun"
"산","san","mountain","Noun"
"새","sae","new","Determiner"
"하지만","hajiman","but / however","Conjunction"
"조건","jogeon","condition","Noun"
"단계","dangye","stage / step","Noun"
"올리다","ollida","to raise / to upload","Verb"
"수","su","number","Noun"
"물건","mulgeon","thing / object","Noun"
"다","da","all","Noun"
"장소","jangso","place","Noun"
"가다","gada","to continue","Verb"
"적다","jeokda","to be few / little","Adjective"
"보이다","boida","to be visible","Verb"
"교회","gyohoe","church","Noun"
"부","bu","wealth / department","Noun"
"따르다","ttareuda","to follow","Verb"
"나타내다","natanaeda","to show / to express","Verb"
"강","gang","river","Noun"
"가볍다","gabyeopda","to be light (weight)","Adjective"
"작가","jakga","writer / author","Noun"
"쓰이다","sseuida","to be used / to be written","Verb"
"법","beop","law / method","Noun"
"말다","malda","to stop / to cease","Verb"
"지역","jiyeok","local","Noun"
"성장","seongjang","growth","Noun"
"던지다","deonjida","to throw","Verb"
"거기","geogi","there","Pronoun"
"두다","duda","to put / to leave","Verb"
"대학생","daehaksaeng","university student","Noun"
"잘하다","jalhada","to do well","Verb"
"한","han","limit","Noun"
"차","cha","order / degree","Noun"
"죽음","jugeum","death","Noun"
"보통","botong","usually / normal","Noun"
"못하다","mothada","cannot","Verb"
"지다","jida","to lose / to fall (sun)","Verb"
"가격","gagyeok","price","Noun"
"도","do","degree / province","Noun"
"운동","undong","sports / movement","Noun"
"님","nim","honorific suffix","Suffix"
"버스","beoseu","bus","Noun"
"나가다","nagada","to attend / to go out","Verb"
"평가","pyeongga","evaluation","Noun"
"걸다","geolda","to hang / to call","Verb"
"어리다","eorida","to be young","Adjective"
"기다리다","gidarida","to wait","Verb"
"다시","dasi","again","Noun"
"내다","naeda","to put out","Verb"
"비","bi","rain","Noun"
"소리","sori","voice / sound","Noun"
"만약","manyak","if","Noun"
"어머니","eomeoni","mother (formal)","Noun"
"형","hyeong","older brother (for male)","Noun"
"음악","eumak","music","Noun"
"주변","jubyeon","surroundings","Noun"
"지다","jida","to become","Verb"
"뜻","tteut","meaning / intention","Noun"
"과","gwa","lesson / department","Noun"
"자다","jada","to sleep","Verb"
"만들다","mandeulda","to create","Verb"
"치료","chiryo","treatment","Noun"
"빠르다","ppareuda","to be fast","Adjective"
"바라보다","baraboda","to look at / to watch","Verb"
"소설","soseol","novel","Noun"
"시험","siheom","test / exam","Noun"
"기본","gibon","basic","Noun"
"주장하다","jujanghada","to insist / to claim","Verb"
"조금","jogeum","a little","Adverb"
"맛있다","masitda","to be delicious","Adjective"
"다루다","daruda","to treat / to deal with","Verb"
"건물","geonmul","building","Noun"
"가능성","ganeungseong","possibility","Noun"
"태어나다","taeeonada","to be born","Verb"
"겨울","gyeoul","winter","Noun"
"가지다","gajida","to hold","Verb"
"가수","gasu","singer","Noun"
"돕다","dopda","to help","Verb"
"재미있다","jaemiitda","to be interesting/fun","Adjective"
"기계","gigye","machine","Noun"
"기록","girok","record","Noun"
"내일","naeil","tomorrow","Noun"
"경계","gyeonggye","boundary","Noun"
"계시다","gyesida","to be (honorific)","Verb"
"비행기","bihaengi","airplane","Noun"
"선수","seonsu","athlete / player","Noun"
"빠지다","ppajida","to fall into","Verb"
"구하다","guhada","to save / to seek","Verb"
"패션","paesyeon","fashion","Noun"
"현장","hyeonjang","site / scene","Noun"
"시작되다","sijakdoeda","to begin","Verb"
"누나","nuna","older sister (for male)","Noun"
"방향","banghyang","direction","Noun"
"정부","jeongbu","administration","Noun"
"잡히다","japhida","to be caught","Verb"
"장","jang","chapter / sheet","Noun"
"지역","jiyeok","zone","Noun"
"미국","miguk","USA","Noun"
"정하다","jeonghada","to decide","Verb"
"회의","hoeui","meeting","Noun"
"승리","seungni","victory","Noun"
"직접","jikjeop","directly","Adverb"
"여행","yeohaeng","travel","Noun"
"죽이다","jugida","to kill","Verb"
"반응","baneung","reaction","Noun"
"감정","gamjeong","emotion","Noun"
"일하다","ilhada","to work","Verb"
"개","gae","dog","Noun"
"전","jeon","before","Noun"
"분","bun","minute","Noun"
"계획","gyehoek","project","Noun"
"표현","pyohyeon","expression","Noun"
"전하다","jeonhada","to convey / to tell","Verb"
"매일","maeil","every day","Adverb"
"나름","nareum","depending on","Noun"
"단어","daneo","word","Noun"
"보여주다","boyeojuda","to show","Verb"
"속도","sokdo","speed","Noun"
"심각하다","simgakhada","to be serious","Adjective"
"이름","ireum","title","Noun"
"영국","yeongguk","UK","Noun"
"준비하다","junbihada","to prepare","Verb"
"계속하다","gyesokhada","to continue","Verb"
"신문","sinmun","newspaper","Noun"
"결정하다","gyeoljeonghada","to decide","Verb"
"경영","gyeongyeong","management","Noun"
"병","byeong","disease / bottle","Noun"
"비슷하다","biseuthada","to be similar","Adjective"
"시절","sijeol","days / times","Noun"
"불","bul","fire / light","Noun"
"이야기하다","iyagihada","to talk","Verb"
"자라다","jarada","to grow","Verb"
"빠르다","ppareuda","to be early","Adjective"
"주다","juda","to offer","Verb"
"설명하다","seolmyeonghada","to explain","Verb"
"뽑다","ppopda","to pull out / to select","Verb"
"정확하다","jeonghwakhada","to be accurate","Adjective"
"학년","hangnyeon","school year / grade","Noun"
"믿음","mideum","belief / trust","Noun"
"어렵다","eoryeopda","to be hard","Adjective"
"아프다","apeuda","to be sick / painful","Adjective"
"개","gae","item","Noun"
"국가","gukga","state","Noun"
"급","geup","class / grade","Noun"
"단지","danji","only / just","Adverb"
"군","gun","army","Noun"
"결혼","gyeolhon","marriage","Noun"
"모으다","moeuda","to gather / to collect","Verb"
"약","yak","medicine / approximately","Noun"
"직업","jigeop","job / occupation","Noun"
"태도","taedo","attitude","Noun"
"확실하다","hwaksilhada","to be certain","Adjective"
"땅","ttang","land / ground","Noun"
"형성하다","hyeongseonghada","to form","Verb"
"과거","gwageo","past","Noun"
"들어오다","deureooda","to enter / to come in","Verb"
"동시에","dongsie","at the same time","Adverb"
"목표","mokpyo","goal","Noun"
"싸우다","ssauda","to fight","Verb"
"유지하다","yujihada","to maintain","Verb"
"일어나다","ireonada","to wake up","Verb"
"인사","insa","greeting","Noun"
"시기","sigi","time / period","Noun"
"해결하다","haegyeolhada","to solve","Verb"
"달","dal","moon / month","Noun"
"멀다","meolda","to be far","Adjective"
"입","ip","entrance","Noun"
"기억","gieok","memory","Noun"
"돌아가다","doragada","to return / to go back","Verb"
"기사","gisa","article / driver","Noun"
"방문하다","bangmunhada","to visit","Verb"
"감사하다","gamsahada","to thank","Verb"
"잠","jam","sleep","Noun"
"기록하다","girokhada","to record","Verb"
"구체적","guchejeok","concrete / specific","Noun"
"생각되다","saenggakdoeda","to be thought","Verb"
"미래","mirae","future","Noun"
"소비자","sobija","consumer","Noun"
"대","dae","vs / against","Noun"
"배우","baeu","actor","Noun"
"언어","eoneo","language","Noun"
"옮기다","omgida","to move / to shift","Verb"
"치다","chida","to strike","Verb"
"주민","jumin","resident","Noun"
"크기","keugi","size","Noun"
"가능하다","ganeunghada","to be possible","Adjective"
"설명","seolmyeong","explanation","Noun"
"다양하다","dayanghada","to be various","Adjective"
"곡","gok","tune / song","Noun"
"돕다","dopda","to assist","Verb"
"선물","seonmul","gift","Noun"
"외국","oeguk","foreign country","Noun"
"주인","juin","owner","Noun"
"반","ban","half","Noun"
"법","beop","rule","Noun"
"성공","seonggong","success","Noun"
"책임","chaegim","responsibility","Noun"
"피해","pihae","damage","Noun"
"흔하다","heunhada","to be common","Adjective"
"시민","simin","citizen","Noun"
"바다","bada","sea","Noun"
"팀","tim","team","Noun"
"팔다","palda","to sell","Verb"
"밝다","bakda","to be bright","Adjective"
"순간","sungan","moment","Noun"
"영어","yeong-eo","English","Noun"
"실제","silje","reality / actual","Noun"
"카드","kadeu","card","Noun"
"가르치다","gareuchida","to teach","Verb"
"기도","gido","prayer","Noun"
"주요","juyo","main / major","Noun"
"분명하다","bunmyeonghada","to be clear","Adjective"
"분석","bunseok","analysis","Noun"
"소식","sosik","news","Noun"
"즐겁다","jeulgeopda","to be enjoyable","Adjective"
"차이","chai","difference","Noun"
"환자","hwanja","patient","Noun"
"관심","gwansim","attention","Noun"
"관리","gwalli","management","Noun"
"가게","gage","store","Noun"
"끊다","kkeunta","to cut / to stop","Verb"
"미안하다","mianhada","to be sorry","Adjective"
"부탁하다","butakhada","to ask / to request","Verb"
"여름","yeoreum","summer","Noun"
"예쁘다","yeppeuda","to be pretty","Adjective"
"제공하다","jegonghada","to provide","Verb"
"죽다","jukda","to pass away","Verb"
"특징","teukjing","characteristic","Noun"
"편","pyeon","side / team","Noun"
"걸음","georeum","step","Noun"
"계절","gyejeol","season","Noun"
"기억하다","gieokhada","to remember","Verb"
"다르다","dareuda","to be diverse","Adjective"
"들어가다","deureogada","to enter","Verb"
"목소리","moksori","voice","Noun"
"어디","eodi","somewhere","Pronoun"
"쳐다보다","cheodaboda","to stare / to look at","Verb"
"회의","hoeui","doubt","Noun"
"건강","geongang","health","Noun"
"경찰","gyeongchal","police","Noun"
"공부","gongbu","study","Noun"
"공부하다","gongbuhada","to study","Verb"
"괜찮다","gwaenchanta","to be okay","Adjective"
"귀","gwi","ear","Noun"
"낮다","natda","to be low","Adjective"
"부모","bumo","parents","Noun"
"비싸다","bissada","to be expensive","Adjective"
"사실","sasil","truth","Noun"
"수술","susul","surgery","Noun"
"슬프다","seulpeuda","to be sad","Adjective"
"약속","yaksok","promise / appointment","Noun"
"연습","yeonseup","practice","Noun"
"위험","wiheom","danger","Noun"
"인기","ingi","popularity","Noun"
"재미","jaemi","fun","Noun"
"주말","jumal","weekend","Noun"
"주소","juso","address","Noun"
"중요","jungyo","importance","Noun"
"지갑","jigap","wallet","Noun"
"직원","jigwon","employee","Noun"
"질문","jilmun","question","Noun"
"차갑다","chagapda","to be cold (touch)","Adjective"
"추억","chueok","memory / recollection","Noun"
"축구","chukgu","soccer","Noun"
"출발하다","chulbalhada","to depart","Verb"
"취미","chwimi","hobby","Noun"
"친절하다","chinjeolhada","to be kind","Adjective"
"칭찬","chingchan","compliment","Noun"
"크리스마스","keuriseumaseu","Christmas","Noun"
"키","ki","height","Noun"
"태풍","taepung","typhoon","Noun"
"특별하다","teukbyeolhada","to be special","Adjective"
"편지","pyeonji","letter","Noun"
"피곤하다","pigonhada","to be tired","Adjective"
"피다","pida","to bloom","Verb"
"하루","haru","day","Noun"
"학교","hakgyo","academy","Noun"
"한글","hangeul","Hangul","Noun"
"할머니","halmeoni","grandmother","Noun"
"할아버지","harabeoji","grandfather","Noun"
"해","hae","sun / year","Noun"
"행복","haengbok","happiness","Noun"
"허리","heori","waist","Noun"
"화","hwa","anger","Noun"
"화장실","hwajangsil","restroom","Noun"
"확인하다","hwaginhada","to check","Verb"
"회사","hoesa","company","Noun"
"회의","hoeui","conference","Noun"
"힘들다","himdeulda","to be hard / difficult","Adjective"
"가을","gaeul","autumn","Noun"
"걱정","geokjeong","worry","Noun"
"결혼식","gyeolhonsik","wedding","Noun"
"경험","gyeongheom","experience","Noun"
"계단","gyedan","stairs","Noun"
"고기","gogi","meat","Noun"
"고맙다","gomapda","to be thankful","Adjective"
"고양이","goyangi","cat","Noun"
"공원","gongwon","park","Noun"
"공책","gongchaek","notebook","Noun"
"공항","gonghang","airport","Noun"
"과일","gwail","fruit","Noun"
"교실","gyosil","classroom","Noun"
"구두","gudu","shoes (dress)","Noun"
"구름","gureum","cloud","Noun"
"귀엽다","gwiyeopda","to be cute","Adjective"
"그리다","geurida","to miss (someone)","Verb"
"근처","geuncheo","near / vicinity","Noun"
"기분","gibun","mood / feeling","Noun"
"기쁘다","gippeuda","to be happy / glad","Adjective"
"기차","gicha","train","Noun"
"길","gil","path","Noun"
"김치","gimchi","Kimchi","Noun"
"깨끗하다","kkaekkeuthada","to be clean","Adjective"
"꽃","kkot","flower","Noun"
"꿈","kkum","dream","Noun"
"끄다","kkeuda","to turn off","Verb"
"끝내다","kkeunnaeda","to finish (something)","Verb"
"날씨","nalssi","weather","Noun"
"남동생","namdongsaeng","younger brother","Noun"
"낮","nat","daytime","Noun"
"내년","naenyeon","next year","Noun"
"냉장고","naengjanggo","refrigerator","Noun"
"넓다","neolpda","to be wide","Adjective"
"노래","norae","song","Noun"
"노래하다","noraehada","to sing","Verb"
"누르다","nureuda","to press","Verb"
"눈물","nunmul","tear","Noun"
"뉴스","nyuseu","news","Noun"
"느리다","neurida","to be slow","Adjective"
"늦다","neutda","to be late","Verb"
